B;097;;;;;;;ROSS RIDGE RD;NORTHERN DISTRICT;0;4047;M;19911129;19911129;35000;R;R;RESIDENCE;;;;;
B;097;;;;;;;WILD PIG RD;NORTHERN DISTRICT;0;9;H;19911108;19911108;275000;R;R;RESIDENCE;;;;;
B;097;1007375;;;;;;PRINCES HIGHWAY SH1;NORTHERN DISTRICT;2537;3278;M;19920911;19920911;400000;;R;RESIDENCE;;;;;
B;097;;;;;;;PRINCES HIGHWAY SH1;NORTHERN DISTRICT;0;0;M;19920914;19920914;720000;R;R;RESIDENCE;;;;;
B;097;;;;;;;RUNNYFORD RD;NORTHERN DISTRICT;0;110;H;19930219;19930219;300000;R;R;RESIDENCE;;;;;
