B;152;3016320;148;20030818 10:01;;;;TIMMSVALE RD;TIMMSVALE;2450;1808;M;20030618;20030701;135000;;R;RESIDENCE;;;;0;9794798;
B;152;3016319;78;20041001 11:08;;;234;TIMMSVALE RD;TIMMSVALE;2450;1027;M;20040817;20040921;145000;R;R;RESIDENCE;;SS;;0;AA976098;
B;152;3016320;79;20041001 11:08;;;;TIMMSVALE RD;TIMMSVALE;2450;1808;M;20040817;20040921;145000;R;R;RESIDENCE;;SS;;0;AA976098;
B;152;3182090;40;20070601 01:20;;;234;TIMMSVALE RD;TIMMSVALE;2450;2835;M;20070315;20070504;120000;R;R;RESIDENCE;;SS;;0;AD113241;
B;152;1711117;;;;;;RATERUM CREEK RD;TIMMSVALE;2450;108.8;H;19960419;19960419;92500;R;R;RESIDENCE;;;;;
