B;902;4166378;2;20210201 01:04;PACKSADDLE STATION;;17248;SILVER CITY HWY;PACKSADDLE;2880;40763;M;20200914;20200915;20142863;;3;AGRICULTURAL;;;;0;AQ609050;
B;902;3378718;1;20180507 01:22;PACKSADDLE STATION;;17248;SILVER CITY HWY;PACKSADDLE;2880;41226.53;H;20180305;20180412;6000000;;3;FARM/RURAL;;;;0;AN271797;
B;902;3425938;1;20210920 02:10;;;2372;HENRY ROBERTS RD;PACKSADDLE;2880;74663;H;20210812;20210831;3808350;;3;FARM;;;;0;AR383809;
B;902;3288661;1;20210628 01:07;DALMUIR STATION;;889;MOUNT ARROWSMITH RD;PACKSADDLE;2880;57424;H;20201002;20210507;2000000;;R;RESIDENCE;;;;0;AR28067;
B;902;3326094;1;20150202 01:18;WONNAMINTA STATION;;4705;WONNAMINTA RD;PACKSADDLE;2880;76954;H;20140828;20141203;2500000;;3;GRAZING;;;;0;AJ132138;
B;902;3265523;16;20060901 01:24;;;;PACKSADDLE ROADHOUSE,TIBOOBURR;PACKSADDLE;2880;8008;M;20040531;20041214;55000;;3;SHOP;;;;0;AB194170;
B;902;3266363;1;20111107 02:09;GUMPOPLA STATION;;8054;YANCANNIA RD;PACKSADDLE;2880;53328;H;20110830;20110919;1120070;;3;GRAZING;;;;0;AG561164;
B;902;3378718;1;20120430 02:29;PACKSADDLE STATION;;17248;SILVER CITY HWY;PACKSADDLE;2880;40770;H;20110506;20120210;1717187;;3;FARM;;;;0;AG833436;
B;902;3263981;1;20130422 01:26;JATALPA STATION;;1539;BOOTRA RD;PACKSADDLE;2880;49841;H;20120508;20120803;1842720;;3;RURAL PROPERTY;;;;0;AH204729;
B;902;3456602;1;20130128 01:42;;;4574;WONNAMINTA RD;PACKSADDLE;2880;40991;H;20120801;20121012;1600000;;3;RURAL;;;;0;AH437734;
B;902;3425943;1;20130624 01:17;;;20664;SILVER CITY HWY;PACKSADDLE;2880;59366;H;20120504;20120620;2629494;;3;RURAL;;;;0;AH787969;
