B;101;2855635;45;20090907 01:31;;;350 C;BROWNS MOUNTAIN RD;BROWNS MOUNTAIN;2540;1.464;H;20090508;20090807;970000;R;R;RESIDENCE;;RR;;0;AE921023;
B;101;2855636;89;20100705 01:53;;;350;BROWNS MOUNTAIN RD;BROWNS MOUNTAIN;2540;34.33;H;20100511;20100623;725000;R;V;VACANT LAND;;QN;;0;AF584690;
B;101;3527182;13;20100719 02:01;;;;CARRINGTON RD;BROWNS MOUNTAIN;2540;56.66;H;20100415;20100625;1110000;;V;VACANT LAND;;;;0;AF584724;
B;101;2880935;1;20100614 03:16;;;870;LEEBOLD HILL RD;BROWNS MOUNTAIN;2540;69.65;H;20100306;20100518;270000;R;V;VACANT LAND;;EG;;0;AF523331;
B;101;1058388;18;20110905 03:29;;;510;BROWNS MOUNTAIN RD;BROWNS MOUNTAIN;2540;42.79;H;20110727;20110816;1325000;R;R;RESIDENCE;;QP;;0;AG443034;
B;101;1058385;25;20120409 01:22;;;350 A;BROWNS MOUNTAIN RD;BROWNS MOUNTAIN;2540;1.96;H;20111220;20120228;750000;R;R;RESIDENCE;;RR;;50;AG899979;
B;101;1078156;35;20130819 01:07;;;507;LEEBOLD HILL RD;BROWNS MOUNTAIN;2540;27.663;H;20130524;20130524;480000;R;V;VACANT LAND;;QN;;0;AH932782;
B;101;3718436;7;20130826 01:12;;;;LEEBOLD HILL RD;BROWNS MOUNTAIN;2540;16.187;H;20130624;20130722;220000;;V;VACANT LAND;;;;0;AH916410;
B;101;3527183;7;20130121 01:28;;;;LEEBOLD HILL RD;BROWNS MOUNTAIN;2540;48.36;H;20121119;20121218;970000;R;3;FARM/RURAL;;QP;;0;AH488367;
B;101;1078157;37;20130729 01:26;;;;LEEBOLD HILL RD;BROWNS MOUNTAIN;2540;98.64;H;20130417;20130705;85000;R;V;VACANT LAND;;QP;;0;AH874956;
B;101;1058392;13;20140602 01:11;;;730;BROWNS MOUNTAIN RD;BROWNS MOUNTAIN;2540;26.3;H;20140310;20140508;540000;R;R;RESIDENCE;;QN;;0;AI600044;
B;101;1058385;39;20140602 01:11;;;350 A;BROWNS MOUNTAIN RD;BROWNS MOUNTAIN;2540;1.96;H;20140228;20140228;600000;R;R;RESIDENCE;;RR;;0;AI620556;
B;101;1078154;60;20140602 01:11;;;;LEEBOLD HILL RD;BROWNS MOUNTAIN;2540;16.19;H;20140310;20140508;540000;R;R;RESIDENCE;;EE;;0;AI600044;
B;101;1078155;61;20140602 01:11;;;;LEEBOLD HILL RD;BROWNS MOUNTAIN;2540;16.19;H;20140310;20140508;540000;R;R;RESIDENCE;;EE;;0;AI600044;
B;101;2854143;1;20141013 01:09;;;461 A;BROWNS MOUNTAIN RD;BROWNS MOUNTAIN;2540;1;H;20140731;20140929;792000;RU1;R;RESIDENCE;;EBS;;0;AI937257;
B;101;1078149;79;20150727 01:13;;;834;LEEBOLD HILL RD;BROWNS MOUNTAIN;2540;32.4;H;20150528;20150709;660000;RU2;3;FARM;;EFS;;0;AJ661643;
B;101;3527183;6;20150831 01:16;;;;LEEBOLD HILL RD;BROWNS MOUNTAIN;2540;48.36;H;20150408;20150731;1435000;RU1;R;RESIDENCE;;EGS;;0;AJ743151;
