B;144;1637175;;;;;64;WILLARONG RD;NORTH CARINGBAH;0;;;19910723;19910723;97000;A;R;RESIDENCE;;;;;
B;144;1637173;;;;;68;WILLARONG RD;NORTH CARINGBAH;0;;;19920324;19920324;200000;A;R;RESIDENCE;;;;;
