B;902;3264910;1;20060816 01:22;;;;WILLANGEE STATION;VIA BROKEN HILL;2880;;;20020326;20020531;1772000;;3;GRAZING PROPE;;;;0;8722718;
B;902;3264942;9;20060816 01:22;;;;PART DONSANDEL STATION;VIA BROKEN HILL;2880;;;19910701;19980825;25700;;3;STATION;;;;0;8494154;
B;902;3264546;17;20060816 01:22;;;;MOORABIE STATION;VIA BROKEN HILL;2880;;;20040226;20040420;727000;;R;RESIDENCE;;;;0;AA897229;
B;902;3263925;27;20060816 01:22;;;;WHITE LEEDS STATION;VIA BROKEN HILL;2880;1015;H;20060509;20060706;120000;;V;VACANT LAND;;;;0;AC463947;
B;902;3263911;31;20060816 01:22;;;;WILANGEE STATION;VIA BROKEN HILL;2880;;;20010501;20010622;1442500;;R;RESIDENCE;;;;0;7973201;
B;902;3263952;34;20060816 01:22;;;;FLOODS CREEK STATION;VIA BROKEN HILL;2880;42107;H;20020218;20020419;650000;;3;RURAL;;;;0;8561839;
B;902;3263954;36;20060816 01:22;;;;'MAZAR' STATION;VIA BROKEN HILL;2880;12869.19;H;20011101;20020111;190800;;3;FARM;;;;0;8285431;
B;902;3263960;40;20060816 01:22;;;LOT3508;DP 765800 'OAKDALE';VIA BROKEN HILL;2880;27020;H;20010717;20010929;567420;;3;RURAL;;;;0;8009682;
B;902;3263940;44;20060816 01:22;;;;MT GIPPS STATION;VIA BROKEN HILL;2880;;;20020111;20020328;800000;;3;GRAZING;;;;0;8619837;
B;902;3263941;45;20060816 01:22;;;;BOULLIA STATION;VIA BROKEN HILL;2880;;;20010907;20010907;617500;;3;FARM;;;;0;8596209;
B;902;3263961;50;20060816 01:22;;;;DEVON STATION;VIA BROKEN HILL;2880;;;20010502;20010822;518000;;3;RURAL;;;;0;8199447;
B;902;3263971;51;20060816 01:22;;;LOT5408;"KUDGEE STATION";VIA BROKEN HILL;2880;;;20040318;20040525;1000000;;3;PASTORAL;;;;0;AA781599;
B;902;3263976;52;20060816 01:22;;;;KUDGEE STATION;VIA BROKEN HILL;2880;;;20040318;20040525;1000000;;3;PASTORAL;;;;0;AA781105;
B;902;3264163;60;20060816 01:22;;;;KOONAWARRA STATION;VIA BROKEN HILL;2880;45470;H;20030408;20030520;1120000;;3;GRAZING;;;;0;AA97426;
B;902;3264177;62;20060816 01:22;;;;'HIOUSE BLOCK' HUONVILLE STATI;VIA BROKEN HILL;2880;6233.1;H;20010926;20011023;200000;;3;RURAL;;;;0;8928315;
B;902;3264178;63;20060816 01:22;;;;MOORABIE & BORDER DOWNS STATIO;VIA BROKEN HILL;2880;132324;H;20031031;20040127;1450000;;3;RURAL;;;;0;AA409057;
B;902;3266384;7;20060901 01:24;;;;MIDDLE CAMP & PART KUDGEE STAT;VIA BROKEN HILL;2880;44021.37;H;20030305;20030527;1196580;;3;GRAZINGPROPER;;;;0;9668171;
B;902;3267625;27;20060901 01:24;;;LOT3781;KANTAPPA & MT WOOWOOLAHRA STAT;VIA BROKEN HILL;2880;32623;H;20050701;20050701;800000;;3;GRAZING;;;;0;AB749928;
B;902;3267655;33;20060901 01:24;;;;BORDER DOWNS STATION;VIA BROKEN HILL;2880;58772;H;20040122;20040415;730000;;3;FARM;;;;0;AA763903;
B;902;3288659;1;20061216 01:22;;;;WILANDRA STATION;VIA BROKEN HILL;2880;16.19;H;20060823;20061103;1250000;;3;FARM;;;;0;AC750676;
B;902;3283077;3;20061116 01:26;;;;TOR DOWNS STATION;VIA BROKEN HILL;2880;41164.25;H;20060116;20060323;970000;;3;FARM;;;;0;AC398133;
B;902;3263940;4;20061116 01:26;;;;MT GIPPS STATION;VIA BROKEN HILL;2880;;;20051209;20060329;1133411;;3;FARM;;;;0;AC223904;
B;902;3267153;5;20061116 01:26;;;;PART "LIMESTONE" STATION;VIA BROKEN HILL;2880;155;H;20060405;20061011;50000;;V;VACANT LAND;;;;0;AC686346;
B;902;3283066;8;20061116 01:26;;;;WONGA STATION;VIA BROKEN HILL;2880;80.95;H;20050929;20060131;1350000;;3;RURAL;;;;0;AC97018;
B;902;3283066;9;20061116 01:26;;;;WONGA STATION;VIA BROKEN HILL;2880;80.95;H;20050929;20060131;1350000;;R;RESIDENCE;;;;0;AC97019;
B;902;3263959;5;20061101 01:28;;;;NAGAELLA STATION;VIA BROKEN HILL;2880;28526;H;20020801;20020927;200171;;3;FARM;;;;0;AC673283;
