B;708;2136362;84;20170501 01:13;;18;69;MOORE PARK RD;MOORE PARK;2021;;;20170306;20170410;1550000;;R;RESIDENCE;18;;;0;AM327898;
B;708;2136362;16;20211011 03:17;;16;69;MOORE PARK RD;MOORE PARK;2021;;;20210706;20211005;1900000;;R;RESIDENCE;16;;;0;AR490309;
B;708;2136329;70;20170213 01:10;;9;53;MOORE PARK RD;MOORE PARK;2021;;;20161203;20170124;660000;;R;RESIDENCE;9;;;0;AM132478;
B;708;2136362;61;20241014 01:08;;15;69;MOORE PARK RD;MOORE PARK;2021;;;20240827;20241008;2030000;;R;RESIDENCE;15;;;0;AU477883;
B;708;2136362;51;20200622 01:03;;16;69;MOORE PARK RD;MOORE PARK;2021;;;20200504;20200615;1430000;;R;RESIDENCE;16;;;0;AQ173527;
B;708;2136362;77;20230626 01:14;;18;69;MOORE PARK RD;MOORE PARK;2021;;;20230505;20230616;2200000;;R;RESIDENCE;18;;;0;AT181953;
B;211;2136356;252;20011203 12:46;;5;65;MOORE PARK RD;MOORE PARK;2021;;;20010925;20011106;571000;;R;RESIDENCE;5;;;;8101250;
B;211;2136356;253;20011203 12:46;;1;65;MOORE PARK RD;MOORE PARK;2021;;;20010928;20011109;609000;;R;RESIDENCE;1;;;;8134649;
B;211;2136362;254;20011203 12:46;;3;69;MOORE PARK RD;MOORE PARK;2021;;;20010913;20011025;595000;;3;TOWN HOUSE;3;;;;8082706;
B;211;2136362;284;20011109 15:27;;5;69;MOORE PARK RD;MOORE PARK;2021;;;20010720;20010914;612500;;3;TOWNHOUSE;5;;;;7957224;
B;211;2136362;73;20030102 11:39;;7;69;MOORE PARK RD;MOORE PARK;2021;;;20020815;20021011;750000;;R;RESIDENCE;7;;;;9193005;
B;211;2136362;74;20030102 11:39;;13;69;MOORE PARK RD;MOORE PARK;2021;;;20020815;20021011;750000;;R;RESIDENCE;13;;;;9193006;
B;211;2136362;75;20030102 11:39;;14;69;MOORE PARK RD;MOORE PARK;2021;;;20020815;20021011;750000;;R;RESIDENCE;14;;;;9193006;
B;211;2136356;133;20021001 12:16;;4;65;MOORE PARK RD;MOORE PARK;2021;;;20020711;20020909;592000;;R;RESIDENCE;4;;;;8985142;
B;211;2136362;134;20021001 12:16;;2;69;MOORE PARK RD;MOORE PARK;2021;;;20020709;20020906;660000;;R;RESIDENCE;2;;;;8973315;
B;211;2136362;135;20021001 12:16;;17;69;MOORE PARK RD;MOORE PARK;2021;;;20020709;20020906;660000;;R;RESIDENCE;17;;;;8973315;
B;211;2136321;277;20030204 13:04;;1;41;MOORE PARK RD;MOORE PARK;2021;;;20021007;20021206;350000;;R;RESIDENCE;1;;;;9266356;
B;211;2136329;129;20030516 11:58;;6;53;MOORE PARK RD;MOORE PARK;2021;;;20030327;20030502;315500;;R;RESIDENCE;6;;;;9585825;
