B;070;2871880;35;20011203 13:15;;;;CYPRESS RD;PINE HILL;2700;2;H;20010726;20010906;43000;;V;VACANT LAND;;;;;7969172;
B;070;2898928;22;20020502 12:03;;;;CYPRESS RD;PINE HILL;2700;2;H;20010823;20010920;40000;Z;V;VACANT LAND;;PH;;;8042250;
B;070;2915194;19;20020702 08:01;;;;STONY RD;PINE HILL;2700;2.011;H;20020416;20020517;42000;;V;VACANT LAND;;;RV;;8673486;
B;070;2915193;15;20040401 15:25;;;;CYPRESS RD;PINE HILL;2700;2.821;H;20040120;20040302;105000;Z;R;RESIDENCE;;PH;;0;AA481530;
B;070;2871880;5;20041201 11:26;;;;CYPRESS RD;PINE HILL;2700;2;H;20040723;20040903;65000;Z;R;RESIDENCE;;PH;;0;AB111284;
B;070;549714;;;;;;CYPRESS RD;PINE HILL;2700;7.63;H;19960812;19960812;45000;Z;R;RESIDENCE;;;;;
B;070;549841;;;;;;CYPRESS RD;PINE HILL;2700;2;H;19980623;19980623;32500;;R;RESIDENCE;;;;;
B;070;;;;;;;OLD SCHOOL RD;PINE HILL;2700;2.023;H;19980831;19980831;35000;;R;RESIDENCE;;;;;
B;070;549711;;;;;;OLD SCHOOL RD;PINE HILL;2700;3.438;H;19990826;19990826;170000;Z;R;RESIDENCE;;;;;
