B;271;995004;45;20200323 01:04;;;36;STURDEE LANE;LOVETT BAY;2105;1288.5;M;20191213;20200204;3520000;E3;R;RESIDENCE;;SWW;;0;AP880563;
B;271;995940;60;20201123 01:03;;;15;THE CHASE;LOVETT BAY;2105;1452.7;M;20201015;20201112;3300000;E3;R;RESIDENCE;;SWW;;0;AQ550398;
B;271;995939;171;20210125 01:03;;;14;THE CHASE;LOVETT BAY;2105;1275.7;M;20201127;20210108;870000;E3;V;VACANT LAND;;SWW;;0;AQ704423;
B;271;999101;159;20201228 01:03;;;8;LOVETT BAY;LOVETT BAY;2105;4486.3;M;20201121;20201218;6000000;E3;R;RESIDENCE;;SWW;;0;AQ666808;
B;093;999096;112;20020102 13:47;;;2;PORTIONS LOVETT BAY;LOVETT BAY;2105;1397;M;20011012;20011116;1300000;A;R;RESIDENCE;;HK;;;8201742;
B;093;994999;188;20020109 10:47;;;28;STURDEE LANE;LOVETT BAY;2105;2364;M;20010405;20010516;1200000;A;R;RESIDENCE;;HL;;;7626892;
B;093;995004;189;20020109 10:47;;;36;STURDEE LANE;LOVETT BAY;2105;1189;M;20010306;20010406;1320000;A;R;RESIDENCE;;HK;;;7573440;
B;093;995012;190;20020109 10:47;;;52;STURDEE LANE;LOVETT BAY;2105;;;20010530;20010803;1135000;A;R;RESIDENCE;;HK;;;7838152;
B;093;995927;132;20021101 11:39;;;1;THE CHASE;LOVETT BAY;2105;2517;M;20010919;20011002;635000;A;R;RESIDENCE;;HK;;;8097060;
B;093;999109;146;20021101 11:39;;;17;PORTIONS LOVETT BAY;LOVETT BAY;2105;1201;M;20020606;20020802;1235000;A;R;RESIDENCE;;HK;;;8991297;
B;093;987340;80;20020916 14:03;;;8;BONA CRES;LOVETT BAY;2105;;;20011010;20011107;625000;A;R;RESIDENCE;;HK;;;8224514;
B;093;3054750;77;20040102 13:54;;;64;STURDEE LANE;LOVETT BAY;2105;1644;M;20021224;20030228;875000;;R;RESIDENCE;;;;0;9488263;
B;093;995004;45;20030619 14:23;;;36;STURDEE LANE;LOVETT BAY;2105;1189;M;20021210;20030206;1920000;A;R;RESIDENCE;;HK;;0;9558624;
B;093;999104;58;20030317 13:51;;;12;PORTIONS LOVETT BAY;LOVETT BAY;2105;;;20021108;20021216;765000;A;R;RESIDENCE;;HW;;;9387424;
B;093;995017;61;20030620 11:14;;;64;STURDEE LANE;LOVETT BAY;2105;3149;M;20021224;20030228;875000;A;R;RESIDENCE;;HK;;0;9488263;
B;093;999108;59;20031117 13:51;;;16;PORTIONS LOVETT BAY;LOVETT BAY;2105;1618;M;20030131;20030807;690000;A;R;RESIDENCE;;HW;;0;9947650;
B;093;994998;57;20030916 09:43;;;26;STURDEE LANE;LOVETT BAY;2105;2264;M;20030122;20030522;1125000;A;R;RESIDENCE;;HL;;0;9769300;
B;093;995940;65;20040802 12:02;;;15;THE CHASE;LOVETT BAY;2105;1410;M;20040203;20040302;1375000;A;R;RESIDENCE;;HK;;0;AA495759;
B;093;999100;76;20040802 12:02;;;6;PORTIONS LOVETT BAY;LOVETT BAY;2105;986.4;M;20040130;20040528;2900000;A;3;RES/BOATSHED;;HX;;0;AA764227;
B;093;999107;77;20040802 12:02;;;15;PORTIONS LOVETT BAY;LOVETT BAY;2105;1353;M;20031210;20040323;1175000;A;R;RESIDENCE;;HK;;0;AA555537;
B;093;995931;27;20050418 10:29;;;7;THE CHASE;LOVETT BAY;2105;695.6;M;20050121;20050304;1300000;A;R;RESIDENCE;;HK;;0;AB362940;
B;093;994997;24;20050901 09:43;;;24;STURDEE LANE;LOVETT BAY;2105;1417;M;20041109;20050728;950000;A;R;RESIDENCE;;HL;;0;AB704260;
B;093;995934;36;20050301 09:36;;;4;THE CHASE;LOVETT BAY;2105;2624;M;20041207;20050201;1300000;A;R;RESIDENCE;;HK;;0;AB280997;
B;093;995928;59;20050201 14:58;;;2;THE CHASE;LOVETT BAY;2105;670.2;M;20041101;20041213;930000;A;R;RESIDENCE;;HK;;0;AB170568;
B;093;995015;22;20050316 11:10;;;58;STURDEE LANE;LOVETT BAY;2105;1467;M;20041224;20050208;1350000;A;R;RESIDENCE;;HK;;0;AB309642;
B;093;999103;42;20060416 01:10;;;11;PORTIONS LOVETT BAY;LOVETT BAY;2105;896.5;M;20060214;20060328;1390000;A;R;RESIDENCE;;HK;;0;AC223224;
B;093;995009;20;20070501 01:10;;;44;STURDEE LANE;LOVETT BAY;2105;1454;M;20070119;20070402;2850000;A;R;RESIDENCE;;HK;;0;AD40751;
B;093;995011;32;20071216 01:14;;;50;STURDEE LANE;LOVETT BAY;2105;860;M;20070731;20071031;1300000;A;R;RESIDENCE;;HK;;0;AD603578;
B;093;995929;89;20070716 01:16;;;3;THE CHASE;LOVETT BAY;2105;1125;M;20070509;20070620;1850000;A;R;RESIDENCE;;HK;;0;AD203843;
B;093;999111;80;20071201 01:16;;;19;LOVETT BAY;LOVETT BAY;2105;914;M;20071005;20071114;1410000;A;R;RESIDENCE;;HK;;0;AD570637;
B;093;995016;62;20071101 01:20;;;60;STURDEE LANE;LOVETT BAY;2105;1492;M;20070515;20070615;1400000;A;R;RESIDENCE;;HK;;0;AD482637;
B;093;995942;54;20080116 01:15;;;17;THE CHASE;LOVETT BAY;2105;1304.4;M;20071105;20071207;1390000;A;R;RESIDENCE;;HK;;0;AD643713;
B;093;994995;8;20081020 01:10;;;18;STURDEE LANE;LOVETT BAY;2105;1838;M;20080928;20080928;350000;A;3;SHED & JETTY;;HK;;0;AE257958;
B;093;999107;16;20090413 01:20;;;15;LOVETT BAY;LOVETT BAY;2105;1353;M;20081219;20090313;1350000;A;R;RESIDENCE;;HK;;0;AE584415;
B;093;995928;20;20100719 02:00;;;2;THE CHASE;LOVETT BAY;2105;897.2;M;20100514;20100625;1330000;A;R;RESIDENCE;;HK;;0;AF601310;
B;093;999112;18;20100621 02:30;;;20;LOVETT BAY;LOVETT BAY;2105;812.3;M;20100304;20100429;1200000;A;R;RESIDENCE;;HK;;0;AF530199;
