B;303;3879366;51;20151005 01:22;;;;GORGE RD;HEIFER STATION;2460;43.465;H;20130513;20150904;25071;;V;VACANT LAND;;;;0;AJ842982;
B;303;4381332;1;20210906 02:12;;;;GORGE RD;HEIFER STATION;2460;151.228;H;20210723;20210813;385000;;V;VACANT LAND;;;;0;AR333752;
B;303;4013939;35;20170320 01:09;;;;GORGE RD;HEIFER STATION;2460;20.45;H;20161219;20161219;2127;;3;ROAD;;;;0;AM152342;
B;303;4013950;36;20170320 01:09;;;;GORGE RD;HEIFER STATION;2460;2.086;H;20161219;20161219;2115;;3;ROAD;;;;0;AM152343;
B;303;3819636;35;20150119 01:24;;;;GORGE RD;HEIFER STATION;2460;8006;M;20130216;20141121;1244;;3;FORMER CROWN ROAD;;;;0;AJ146383;
B;303;3819639;36;20150119 01:24;;;;GORGE RD;HEIFER STATION;2460;4.045;H;20130216;20141121;5940;;3;FORMER CROWN ROAD;;;;0;AJ146270;
B;303;3819641;37;20150119 01:24;;;;GORGE RD;HEIFER STATION;2460;14.086;H;20130410;20141121;5392;;3;FORMER CROWN ROAD;;;;0;AJ146222;
B;172;2939056;23;20021001 12:09;;;;HEIFER STATION RD;HEIFER STATION;2460;125.833;H;20011018;20011018;125875;;3;FARM;;;RG;;8102858;
B;303;3781092;38;20140707 01:21;;;;GORGE RD;HEIFER STATION;2460;5.7;H;20140613;20140613;5516;;3;FORMER CORWN ROADS;;;;0;AI704368;
B;303;3797242;44;20140929 01:16;;;;GORGE RD;HEIFER STATION;2460;14.19;H;20140808;20140808;5000;;3;FORMER CROWN ROADS;;;;0;AI893091;
