B;139;;90;20020102 12:36;;;;;BIRKENHEAD POINT;;;;20011026;20011207;762400;;R;RESIDENCE;142;;;;8198756;
B;139;;91;20020102 12:36;;;;;BIRKENHEAD POINT;;;;19990604;20010124;717250;;R;RESIDENCE;15;;;;8215895;
B;139;;92;20020102 12:36;;;;;BIRKENHEAD POINT;;;;20011023;20011123;734700;;R;RESIDENCE;16;;;;8164329;
B;139;;124;20011203 12:32;;;;;BIRKENHEAD POINT;;;;20010924;20011109;756000;;R;RESIDENCE;31;;;;8111565;
B;139;;80;20020109 09:19;;;;;BIRKENHEAD POINT;;;;20010628;20010802;602000;;R;RESIDENCE;109;;;;7833344;
B;139;;81;20020109 09:19;;;;;BIRKENHEAD POINT;;;;19991029;20010226;624000;;R;RESIDENCE;114;;;;7676585;
B;139;;82;20020109 09:19;;;;;BIRKENHEAD POINT;;;;20010711;20010815;545000;;R;RESIDENCE;117;;;;8056461;
B;139;;83;20020109 09:19;;;;;BIRKENHEAD POINT;;;;20010907;20010907;680000;;3;;118;;;;7944761;
B;139;;84;20020109 09:19;;;;;BIRKENHEAD POINT;;;;20010727;20010831;686000;;R;RESIDENCE;12;;;;7970646;
B;139;;85;20020109 09:19;;;;;BIRKENHEAD POINT;;;;20010620;20010801;640000;;R;RESIDENCE;121;;;;7848004;
B;139;;86;20020109 09:19;;;;;BIRKENHEAD POINT;;;;20010412;20010525;600000;;R;RESIDENCE;122;;;;7713499;
B;139;;87;20020109 09:19;;;;;BIRKENHEAD POINT;;;;20010619;20010726;663000;;R;RESIDENCE;123;;;;7818624;
B;139;;88;20020109 09:19;;;;;BIRKENHEAD POINT;;;;20010723;20010828;610000;;R;RESIDENCE;126;;;;7997646;
B;139;;89;20020109 09:19;;;;;BIRKENHEAD POINT;;;;20010530;20010711;644000;;R;RESIDENCE;127;;;;7777762;
B;139;;90;20020109 09:19;;;;;BIRKENHEAD POINT;;;;20010731;20010904;678000;;R;RESIDENCE;129;;;;8004976;
B;139;;91;20020109 09:19;;;;;BIRKENHEAD POINT;;;;20010411;20010515;645000;;R;RESIDENCE;133;;;;7635003;
B;139;;92;20020109 09:19;;;;;BIRKENHEAD POINT;;;;20010529;20010628;658000;;R;RESIDENCE;139;;;;7746208;
B;139;;93;20020109 09:19;;;;;BIRKENHEAD POINT;;;;20010529;20010712;722000;;R;RESIDENCE;141;;;;7794337;
