B;209;2870128;169;20020102 13:34;;;;;WAVERLEYNIIKL;;;;20010426;20010706;850000;;R;RESIDENCE;7;;;;8149483;
B;209;2870128;220;20011203 12:44;;;;;WAVERLEYNIIKL;;;;20010611;20010706;798600;;R;RESIDENCE;18;;;;8097236;
B;209;2870128;221;20011203 12:44;;;;;WAVERLEYNIIKL;;;;20010427;20010726;515000;;R;RESIDENCE;4;;;;8079114;
B;209;2870128;155;20020109 10:34;;;;;WAVERLEYNIIKL;;;;20010607;20010816;547500;;R;RESIDENCE;1;;;;7888930;
B;209;2870128;156;20020109 10:34;;;;;WAVERLEYNIIKL;;;;20010326;20010717;540000;;R;RESIDENCE;10;;;;7845664;
B;209;2870128;157;20020109 10:34;;;;;WAVERLEYNIIKL;;;;20010508;20010718;517500;;R;RESIDENCE;13;;;;7799290;
B;209;2870128;158;20020109 10:34;;;;;WAVERLEYNIIKL;;;;20010402;20010726;825000;;R;RESIDENCE;16;;;;7820107;
B;209;2870128;159;20020109 10:34;;;;;WAVERLEYNIIKL;;;;20010319;20010704;875000;;R;RESIDENCE;17;;;;7776381;
B;209;2870128;160;20020109 10:34;;;;;WAVERLEYNIIKL;;;;20010427;20010711;560000;;3;HOME UNIT;2;;;;7768381;
B;209;2870128;161;20020109 10:34;;;;;WAVERLEYNIIKL;;;;20010710;20010822;668000;;3;;22;;;;7883288;
B;209;2870128;162;20020109 10:34;;;;;WAVERLEYNIIKL;;;;20010615;20010718;755000;;R;RESIDENCE;23;;;;7837597;
B;209;2870128;163;20020109 10:34;;;;;WAVERLEYNIIKL;;;;20010508;20010724;525000;;R;RESIDENCE;25;;;;7798970;
B;209;2870128;164;20020109 10:34;;;;;WAVERLEYNIIKL;;;;20010424;20010720;970000;;R;RESIDENCE;27;;;;7806175;
B;209;2870128;165;20020109 10:34;;;;;WAVERLEYNIIKL;;;;20010525;20010711;1160000;;R;RESIDENCE;28;;;;7799709;
B;209;2870128;166;20020109 10:34;;;;;WAVERLEYNIIKL;;;;20010629;20010810;955000;;R;RESIDENCE;29;;;;7854693;
B;209;2870128;167;20020109 10:34;;;;;WAVERLEYNIIKL;;;;20010403;20010711;499000;;R;RESIDENCE;31;;;;7780654;
B;209;2870128;168;20020109 10:34;;;;;WAVERLEYNIIKL;;;;20010702;20010709;375000;;R;RESIDENCE;5;;;;7769187;
B;209;2870128;169;20020109 10:34;;;;;WAVERLEYNIIKL;;;;20010427;20010711;795000;;3;HOME UNIT;6;;;;7768367;
B;209;2870128;170;20020109 10:34;;;;;WAVERLEYNIIKL;;;;20010521;20010730;835000;;R;RESIDENCE;8;;;;7975447;
