B;221;3183980;108;20060101 01:18;;;LOT133;LISK STREET;PEMULWAY;2145;;;20051027;20051207;294000;;V;VACANT LAND;;;;0;AB995327;
B;221;3183981;59;20051116 01:18;;;LOT134;LAKEWOOD;PEMULWAY;2145;;;20050915;20051014;307000;;V;VACANT LAND;;;;0;AB882427;
B;221;3241160;125;20060416 01:19;;;6;GRAZIER  CCT;PEMULWAY;2145;;;20051109;20051216;299000;;V;VACANT LAND;;;;0;AC68500;
B;221;3241168;131;20060416 01:19;;;24;BUTLER ROAD;PEMULWAY;2145;;;20060215;20060324;255000;;V;VACANT LAND;;;;0;AC206693;
B;221;3241172;132;20060416 01:19;;;LOT117;BUTLER RD;PEMULWAY;2145;;;20060112;20060210;278000;;V;VACANT LAND;;;;0;AC121657;
B;221;3241188;144;20060416 01:19;;;LOT133;LISK STREET;PEMULWAY;2145;;;20051027;20051207;294000;;V;VACANT LAND;;;;0;AB995327;
B;221;3241189;145;20060416 01:19;;;LOT134;LAKEWOOD;PEMULWAY;2145;;;20050915;20051014;307000;;V;VACANT LAND;;;;0;AB882427;
B;221;3241223;154;20060416 01:19;;;LOT168;BUTLER RD;PEMULWAY;2145;;;20051207;20051222;389000;;V;VACANT LAND;;;;0;AC23328;
B;221;3183964;60;20060301 01:27;;;LOT117;BUTLER RD;PEMULWAY;2145;;;20060112;20060210;278000;;V;VACANT LAND;;;;0;AC121657;
B;221;3184015;55;20060116 01:19;;;LOT168;BUTLER RD;PEMULWAY;2145;;;20051207;20051222;389000;;V;VACANT LAND;;;;0;AC23328;
B;221;3183952;70;20060201 01:24;;;6;GRAZIER  CCT;PEMULWAY;2145;;;20051109;20051216;299000;;V;VACANT LAND;;;;0;AC68500;
B;214;3950742;145;20160919 01:07;;;1/2-4;PICRITE CLOSE;PEMULWAY;2145;;;20151110;20160826;1419000;;3;WAREHOUSE;1;;;0;AK737329;
B;214;3950742;146;20160919 01:07;;;5/2-4;PICRITE CLOSE;PEMULWAY;2227;;;20150422;20160824;531355;;3;;5;;;0;AK747337;
B;261;4495347;91;20230807 01:16;;;315;DRIFTWAY DR;PEMULWAY;2145;;;20220316;20230801;889000;;R;RESIDENCE;;;;0;AT315510;
B;261;4495268;68;20230814 01:12;;;249;DRIFTWAY DR;PEMULWAY;2145;;;20210827;20230808;750000;;V;VACANT LAND;;;;0;AT334964;
