B;208;;;;;;15;1 MACQUARIE ST;SYDNEY NSW;2000;;;19951215;19951215;750000;;R;RESIDENCE;;;;;
B;208;;;;;;15;1 MACQUARIE ST;SYDNEY NSW;2000;;;19951218;19951218;1890000;;R;RESIDENCE;;;;;
B;208;;;;;;15;1 MACQUARIE ST;SYDNEY NSW;2000;;;19951218;19951218;3000000;;R;RESIDENCE;;;;;
B;208;;;;;;15;1 MACQUARIE ST;SYDNEY NSW;2000;;;19951221;19951221;2230000;;R;RESIDENCE;;;;;
B;208;;;;;;15;1 MACQUARIE ST;SYDNEY NSW;2000;;;19951222;19951222;2900000;;R;RESIDENCE;;;;;
B;208;;;;;;15;1 MACQUARIE ST;SYDNEY NSW;2000;;;19951222;19951222;3050000;;R;RESIDENCE;;;;;
B;208;;;;;;15;1 MACQUARIE ST;SYDNEY NSW;2000;;;19951222;19951222;4100000;;R;RESIDENCE;;;;;
B;208;;;;;;15;1 MACQUARIE ST;SYDNEY NSW;2000;;;19960119;19960119;800000;;R;RESIDENCE;;;;;
B;208;;;;;;15;1 MACQUARIE ST;SYDNEY NSW;2000;;;19960229;19960229;900000;;R;RESIDENCE;;;;;
B;208;;;;;;15;1 MACQUARIE ST;SYDNEY NSW;2000;;;19960325;19960325;1510000;;R;RESIDENCE;;;;;
B;208;;;;;;15;1 MACQUARIE ST;SYDNEY NSW;2000;;;19960326;19960326;1360000;;R;RESIDENCE;;;;;
B;208;;;;;;15;1 MACQUARIE ST;SYDNEY NSW;2000;;;19960429;19960429;1310000;;R;RESIDENCE;;;;;
B;208;;;;;;15;1 MACQUARIE ST;SYDNEY NSW;2000;;;19960927;19960927;927000;;R;RESIDENCE;;;;;
B;208;;;;;;15;1 MACQUARIE ST;SYDNEY NSW;2000;;;19981109;19981109;1000000;;R;RESIDENCE;;;;;
B;208;;;;;;15;1 MACQUARIE ST;SYDNEY NSW;2000;;;19981111;19981111;3400000;;R;RESIDENCE;;;;;
B;208;;;;;;15;1 MACQUARIE ST;SYDNEY NSW;2000;;;19981116;19981116;975000;;R;RESIDENCE;;;;;
B;208;;;;;;15;1 MACQUARIE ST;SYDNEY NSW;2000;;;19981116;19981116;1590000;;R;RESIDENCE;;;;;
B;208;;;;;;15;1 MACQUARIE ST;SYDNEY NSW;2000;;;19981117;19981117;1450000;;R;RESIDENCE;;;;;
B;208;;;;;;15;1 MACQUARIE ST;SYDNEY NSW;2000;;;19981119;19981119;950000;;R;RESIDENCE;;;;;
B;208;;;;;;15;1 MACQUARIE ST;SYDNEY NSW;2000;;;19981124;19981124;1075000;;R;RESIDENCE;;;;;
B;208;;;;;;15;1 MACQUARIE ST;SYDNEY NSW;2000;;;19981130;19981130;3900000;;R;RESIDENCE;;;;;
B;208;;;;;;15;1 MACQUARIE ST;SYDNEY NSW;2000;;;19981201;19981201;2400000;;R;RESIDENCE;;;;;
B;208;;;;;;15;1 MACQUARIE ST;SYDNEY NSW;2000;;;19981203;19981203;1525000;;R;RESIDENCE;;;;;
