B;138;1404097;2;20160307 01:13;;;93;BEXLEY RD;CLEMTON PARK;2206;644.9;M;20160125;20160222;1164000;R3;R;RESIDENCE;;XKK;;0;AK244998;
B;138;1427595;26;20170508 01:05;;;9;LINEY AVE;CLEMTON PARK;2206;442.6;M;20170313;20170424;1210000;R3;R;RESIDENCE;;XKK;;0;AM352050;
B;138;1443053;31;20180212 01:14;;;16;TURTON AVE;CLEMTON PARK;2206;499.5;M;20171209;20180122;1440000;R3;R;RESIDENCE;;XKK;;0;AN93620;
B;138;1409242;19;20151012 01:15;;;62;CHISHOLM AVE;CLEMTON PARK;2206;247.7;M;20150829;20150930;1167000;R3;R;RESIDENCE;;XKK;;0;AJ874652;
B;138;1409247;35;20170213 01:06;;;63;CHISHOLM AVE;CLEMTON PARK;2206;499.5;M;20161108;20170120;1335000;R3;R;RESIDENCE;;XKK;;0;AM129848;
B;138;1409233;29;20171113 01:17;;;44;CHISHOLM AVE;CLEMTON PARK;2206;499.5;M;20170920;20171101;1360000;R3;R;RESIDENCE;;XKK;;0;AM866524;
B;138;4079403;21;20180115 01:23;;;22 A;FERRIER PDE;CLEMTON PARK;2206;324.7;M;20170718;20171215;1500000;R3;R;RESIDENCE;;XKK;;0;AM987577;
B;138;1436519;30;20170116 01:04;;;1;REID AVE;CLEMTON PARK;2206;556.4;M;20161029;20161212;1150000;R3;R;RESIDENCE;;XKK;;0;AM33470;
B;138;1427606;13;20160516 01:15;;;14;LINEY AVE;CLEMTON PARK;2206;442.6;M;20160312;20160426;1292000;R3;R;RESIDENCE;;XKK;;0;AK409001;
B;138;1424031;30;20171016 01:04;;;5;JULIE AVE;CLEMTON PARK;2206;448.9;M;20170715;20171009;1910000;R3;R;RESIDENCE;;XKK;;0;AM798944;
B;138;1443052;47;20171016 01:04;;;18;TURTON AVE;CLEMTON PARK;2206;499.5;M;20171002;20171009;12000;R3;R;RESIDENCE;;XKK;;0;AM794773;
