B;081;616041;263;20020816 13:06;;25;;STONELEA CT HOUSE NO: PT LT 1;ROUND CORNER;2158;;;20020620;20020718;340000;;R;RESIDENCE;25;;;;8818208;
B;081;616041;264;20020816 13:06;;65;;STONELEA CT HOUSE NO: PT LT 1;ROUND CORNER;2158;;;20020620;20020731;320000;;R;RESIDENCE;65;;;;8853494;
B;081;616041;265;20020816 13:06;;73;;STONELEA CT HOUSE NO: PT LT 1;ROUND CORNER;2158;;;20020620;20020731;320000;;R;RESIDENCE;73;;;;8853494;
B;081;616041;109;20020902 14:12;;95;;STONELEA CT HOUSE NO: PT LT 1;ROUND CORNER;2158;;;20020712;20020813;305000;;R;RESIDENCE;95;;;;8874460;
B;081;596227;131;20020201 11:54;;;64;JAFFA RD;ROUND CORNER;2158;695.6;M;20011105;20011221;359000;A;R;RESIDENCE;;AS;;;8260563;
B;081;596241;74;20020716 15:03;;;41;JAFFA RD;ROUND CORNER;2158;695.6;M;20020516;20020621;405000;A;R;RESIDENCE;;AS;;;8736852;
B;081;606840;121;20020716 15:03;;4;556;OLD NORTHERN RD;ROUND CORNER;2158;;;20020411;20020611;405000;;R;RESIDENCE;4;;;;8734030;
B;081;616041;159;20020716 15:03;;110;;STONELEA CT HOUSE NO: PT LT 1;ROUND CORNER;2158;;;19990528;20000324;232000;;3;;110;;;;6674540;
B;081;616041;160;20020716 15:03;;113;;STONELEA CT HOUSE NO: PT LT 1;ROUND CORNER;2158;;;19990525;20000330;220000;;3;HOME UNIT;113;;;;6700885;
B;081;616041;161;20020716 15:03;;114;;STONELEA CT HOUSE NO: PT LT 1;ROUND CORNER;2158;;;19990528;20000329;232000;;3;;114;;;;6683871;
B;081;616041;162;20020716 15:03;;115;;STONELEA CT HOUSE NO: PT LT 1;ROUND CORNER;2158;;;19990728;19990728;208000;;3;;115;;;;6683030;
B;081;616041;163;20020716 15:03;;116;;STONELEA CT HOUSE NO: PT LT 1;ROUND CORNER;2158;;;19990709;19990709;208000;;3;;116;;;;6691406;
B;081;616041;164;20020716 15:03;;118;;STONELEA CT HOUSE NO: PT LT 1;ROUND CORNER;2158;;;19990708;20000329;232000;;3;;118;;;;6700408;
B;081;616041;165;20020716 15:03;;119;;STONELEA CT HOUSE NO: PT LT 1;ROUND CORNER;2158;;;19990805;20000330;223000;;3;;119;;;;6690024;
B;081;616041;166;20020716 15:03;;121;;STONELEA CT HOUSE NO: PT LT 1;ROUND CORNER;2158;;;19990528;20000329;262000;;3;;121;;;;6683417;
B;081;616041;167;20020716 15:03;;122;;STONELEA CT HOUSE NO: PT LT 1;ROUND CORNER;2158;;;19990709;20000330;262000;;3;;122;;;;6686481;
B;081;616041;168;20020716 15:03;;123;;STONELEA CT HOUSE NO: PT LT 1;ROUND CORNER;2158;;;19990528;20000324;232000;;3;;123;;;;6674540;
B;081;616041;169;20020716 15:03;;127;;STONELEA CT HOUSE NO: PT LT 1;ROUND CORNER;2158;;;19990708;20000329;232000;;3;;127;;;;6700408;
B;081;616041;170;20020716 15:03;;128;;STONELEA CT HOUSE NO: PT LT 1;ROUND CORNER;2158;;;19990805;20000330;223000;;3;;128;;;;6690024;
B;081;616041;171;20020716 15:03;;129;11;STONELEA CT;ROUND CORNER;2158;;;19990804;20000330;235000;;3;;129;;;;6683397;
B;081;616041;172;20020716 15:03;LOT 130;;;STONELEA CT;ROUND CORNER;2158;;;19990927;20000328;15000;;3;GARAGE;130;;;;6695964;
B;081;616041;173;20020716 15:03;;136;;STONELEA CT HOUSE NO: PT LT 1;ROUND CORNER;2158;;;19990709;20000330;262000;;3;;136;;;;6686481;
B;081;616041;174;20020716 15:03;;139;;STONELEA CT HOUSE NO: PT LT 1;ROUND CORNER;2158;;;19990528;20000329;232000;;3;;139;;;;6683871;
B;081;616041;175;20020716 15:03;;3;9;STONELEA CT;ROUND CORNER;2158;;;19990708;20000329;223000;;3;;140;;;;6683904;
B;081;598126;254;20020603 10:00;;;48 A;KENTHURST RD;ROUND CORNER;2158;695.6;M;20020227;20020328;370000;A;R;RESIDENCE;;AS;;;8552122;
B;081;603661;322;20020603 10:00;;;3;MILLAR CRES;ROUND CORNER;2158;720.8;M;20020305;20020419;385000;A;R;RESIDENCE;;AS;;;8560908;
B;081;617897;478;20020603 10:00;;;7;THE VILLAGE PL;ROUND CORNER;2158;825.9;M;20020301;20020417;360000;A;R;RESIDENCE;;AS;;;8594063;
B;081;596200;63;20021119 09:39;;;8;JAFFA RD;ROUND CORNER;2158;695.6;M;20020909;20021021;440000;A;R;RESIDENCE;;AS;;;9080295;
B;081;596235;101;20021016 11:10;;;53;JAFFA RD;ROUND CORNER;2158;695.6;M;20020815;20020926;412000;A;R;RESIDENCE;;AS;;;9006462;
B;081;617885;183;20021016 11:10;;;12;THE VILLAGE PL;ROUND CORNER;2158;700;M;20020702;20020829;422000;A;R;RESIDENCE;;AS;;;8920102;
B;081;596247;65;20021101 11:29;;;29;JAFFA RD;ROUND CORNER;2158;695.6;M;20020830;20021002;416000;A;R;RESIDENCE;;AS;;;9042560;
B;081;3399252;16;20080804 01:06;;;;ALLEN WAY;ROUND CORNER;2158;94.22;M;20061220;20061220;55000;;3;SHOPPING CENT;;;;0;AE38124;
B;081;3275648;107;20080804 01:06;LOT 2;;;ALLEN WAY;ROUND CORNER;2158;94.22;M;20061220;20061220;55000;;3;SHOPPING CENT;;;PR;0;AE38124;
B;081;3275648;112;20080707 01:07;LOT 2;;;ALLEN WAY;ROUND CORNER;2158;94.22;M;20061220;20061220;55000;;3;SHOPPING CENT;;;;0;AE38124;
