B;246;2838528;12;20010720 12:11;;;;;KANKOOL;2339;331.2;H;20010228;20010411;196416;;3;Other;;;;;7589551;
B;246;3063226;5;20040217 11:52;;;PARTLOT2;CHILCOTTS CREEK ROAD;KANKOOL;;252.41;H;20030509;20031023;117500;;3;VACANT LAND(LOT 23);;;;0;AA134615;
