B;254;2683128;1;20201228 01:02;WILLIE;;2549;GIBSON WAY;THE MARRA;2831;1851;H;20201028;20201222;2083590;RU1;3;FARM;;RGA;;0;AQ685404;
B;254;3719859;1;20230529 01:10;ILLABUNDA;;1305;BUCKIINGUY RD;THE MARRA;2831;7118;H;20230224;20230419;13796952;RU1;3;FARM;;RGE;;0;AT20195;
B;254;4400176;3;20230130 01:09;;;;JOHNSONS RD;THE MARRA;2831;236.459;H;20220805;20220916;350000;RU1;V;VACANT LAND;;RGA;;0;AS480296;
B;254;2685003;1;20100927 02:59;MAXWELLTON;;11110;CARINDA RD;THE MARRA;2831;2266;H;20100617;20100803;1600000;R;3;RURAL;;GA;;0;AF743937;
B;254;3714473;5;20130805 01:18;;;;BUCKIINGUY RD;THE MARRA;2831;2486;H;20130528;20130709;1078379;;3;FARM;;;;0;AH894151;
B;254;2683838;2;20130318 01:45;NERIDAH;;439;LAMPHS RD;THE MARRA;2831;1036;H;20121217;20121221;510000;RU1;3;FARM;;RGA;;0;AH574145;
B;254;3719857;1;20130902 01:20;;;;BUCKIINGUY RD;THE MARRA;2831;2486;H;20130528;20130709;1078379;;3;FARM;;;;0;AH894151;
B;254;3719859;2;20130916 01:35;;;1305;BUCKIINGUY RD;THE MARRA;2831;7118;H;20130528;20130709;3566506;RU1;3;FARM;;RGE;;0;AH945745;
B;254;2685032;1;20140331 01:15;DOUBLE TANKS;;;CARINDA RD;THE MARRA;2831;744.7;H;20140131;20140314;290000;RU1;V;VACANT LAND;;RGE;;0;AI456237;
B;254;3793077;4;20140908 01:15;;;LOT 1 DP11;PH:MERANDA,THE MOLE, CO:CLYDE;THE MARRA;2831;71.18;H;20110719;20140711;16016;;V;VACANT LAND;;;;0;AI843556;
B;254;3268460;3;20140922 01:13;WILLIEWARRINA;;839;LEMONGROVE RD;THE MARRA;2831;2058;H;20140715;20140826;978200;RU1;3;RURAL;;RGA;;0;AI892167;
B;254;3876144;5;20150921 01:18;;1;1202663;OFF BUCKINGUY RD;THE MARRA;2831;22.12;H;20140321;20150807;6503;;V;VACANT LAND;;;;0;AJ774504;
B;254;3876157;6;20150921 01:18;;;2-4/120266;OFF BUCKINGUY RD;THE MARRA;2831;51.61;H;20140321;20150807;15173;;V;VACANT LAND;;;;0;AJ774430;
