B;235;3079696;1;20040503 12:44;;;;MENA MURTEE STATION;VIA WILCANNIA;2836;63987.8;H;20040121;20040316;2245085;;3;GRAZING PROPE;;;;0;AA521506;
B;235;3067093;5;20040301 11:57;;;;"DUNTROON STATION";VIA WILCANNIA;2836;16247.08;H;20031017;20040106;1475000;;3;GRAZING;;;;0;AA408910;
B;235;2625304;3;20040517 12:28;;;;VIDALE STATION;VIA WILCANNIA;2836;21637;H;20031203;20040123;865000;Z;3;GRAZING;;BE;;0;AA434641;
B;235;3204077;3;20051216 01:22;;;;COPLEY'S PADDOCK;VIA WILCANNIA;2836;3096;H;20050513;20050912;153960;R;V;VACANT LAND;;BY;;0;AB962779;
B;235;2625324;3;20050216 14:10;;;;"WILGA STATION";VIA WILCANNIA;2836;35401;H;20020215;20020524;1137513;Z;3;GRAZING FARM;;DE;RG;0;8663507;
B;235;2625323;9;20050201 15:07;;;;"KALKAROO STATION";VIA WILCANNIA;2836;16350;H;20020326;20020415;368000;R;3;RURAL;;BY;RG;0;8596393;
B;235;3193712;2;20060916 01:19;;;;'ALMA PARK';VIA WILCANNIA;2835;48.57;H;20060223;20060524;900000;R;3;FARM;;DY;;0;AC463203;
B;235;3193713;3;20060916 01:19;;;;'ALMA PARK';VIA WILCANNIA;2835;14064;H;20060223;20060524;900000;R;3;FARM;;DY;;0;AC463203;
B;235;2625323;2;20071216 01:25;;;;'KALKAROO STATION';VIA WILCANNIA;2836;16350;H;20070822;20071105;760000;R;3;FARM;;BY;;0;AD595188;
B;235;3311127;2;20070516 01:22;;;;COONOOLERA STATION;VIA WILCANNIA;2836;10912;H;20070111;20070329;500150;;3;RURAL, BUILDI;;;;0;AD56063;
B;235;3441041;1;20090330 01:33;;;;KALYANKA STATION;VIA WILCANNIA;2836;231.2;H;20050615;20090302;6000;;3;RURAL LAND;;;;0;AE546738;
B;235;2625347;3;20091116 02:04;;;;NORMA DOWNS STATION;VIA WILCANNIA;2836;30472;H;20090612;20090827;1925000;R;3;GRAZING;;BY;;0;AF13642;
B;235;2625387;1;20090928 01:42;;;;MYALL STATION;VIA WILCANNIA;2836;23997;H;20090612;20090827;1900000;R;3;GRAZING;;BY;;0;AE961999;
B;235;2625295;1;20100607 02:30;;;;BURRAGAN LEASE;VIA WILCANNIA;2836;27733;H;20100219;20100507;1605589;R;3;FARM;;DY;;0;AF505485;
B;235;2625253;3;20101108 06:27;;;;YELTA STATION;VIA WILCANNIA;2836;21443;H;20100406;20100730;661840;R;3;GRAZING;;DY;;0;AF720864;
B;235;2625253;4;20101108 06:27;;;YELTA;STATION;VIA WILCANNIA;2836;21443;H;20100406;20100730;661840;R;3;GRAZING;;DY;;0;AF720863;
