B;142;2846640;278;20011109 11:18;;11;;;WEST KOGARAH;;;;20010705;20010822;300000;;R;RESIDENCE;11;;;;7882998;
B;142;2846640;279;20011109 11:18;;4;;;WEST KOGARAH;;;;20010710;20010822;285000;;R;RESIDENCE;4;;;;7894739;
B;142;2846640;280;20011109 11:18;;6;;;WEST KOGARAH;;;;20010319;20010817;285000;;R;RESIDENCE;6;;;;7867519;
B;142;2846640;256;20011109 13:17;;1;;;WEST KOGARAH;;;;20010801;20010829;288000;;R;RESIDENCE;1;;;;7927431;
B;142;2846640;257;20011109 13:17;;10;;;WEST KOGARAH;;;;20010613;20010829;300000;;R;RESIDENCE;10;;;;7912697;
B;142;2846640;258;20011109 13:17;;5;;;WEST KOGARAH;;;;20010306;20010829;280000;;R;RESIDENCE;5;;;;7902293;
B;142;2846640;259;20011109 13:17;;7;;;WEST KOGARAH;;;;20010530;20010823;290000;;R;RESIDENCE;7;;;;7895945;
B;142;2846640;260;20011109 13:17;;9;;;WEST KOGARAH;;;;20010619;20010822;300000;;3;UNIT;9;;;;7898618;
B;142;1533148;;;;;11;PAINE ST;WEST KOGARAH;0;55;M;19910604;19910604;148500;A;R;RESIDENCE;;;;;
B;142;1533148;;;;;11;PAINE ST;WEST KOGARAH;0;550;M;19940204;19940204;146000;A;R;RESIDENCE;;;;;
B;142;1533148;;;;;11;PAINE ST;WEST KOGARAH;0;55;M;19941031;19941031;150000;A;R;RESIDENCE;;;;;
B;142;1533148;;;;;11;PAINE ST;WEST KOGARAH;0;55;M;19960329;19960329;157000;A;R;RESIDENCE;;;;;
