B;300;3088463;1;20070816 01:38;;;LT1;DP 1066964 PARISH WHANLAN COUN;WEARNE;;15.39;H;20040429;20060306;13300;;3;CLOSED ROAD;;;;0;AD293046;
B;300;3333948;3;20070901 01:45;;;LT1;DP 1066963 PARISH WHALAN COUNT;WEARNE;;54.45;H;20040429;20060306;54000;;3;CLOSED RD;;;;0;AD293060;
