B;235;2960133;1;20080421 01:21;;;;ASHMONT/BIG AMPI STATION;VIA MENINEE;;44651;H;20070917;20080107;1434821;R;3;;;DY;;0;AD879149;
B;235;3346019;3;20080421 01:21;;;;ASHMONT/BIG AMPI STATION;VIA MENINEE;;16.19;H;20070917;20080107;1434821;R;3;;;RX;;0;AD879148;
