B;208;2035255;;;;;61 - 69;MACQUARIE ST;CIRCULAR QUAY;2000;1509;M;19990228;19990228;665000;C;R;RESIDENCE;;;;;
B;208;2035255;;;;;61 - 69;MACQUARIE ST;CIRCULAR QUAY;2000;1509;M;19990228;19990228;750000;C;R;RESIDENCE;;;;;
B;208;2035255;;;;;61 - 69;MACQUARIE ST;CIRCULAR QUAY;2000;1509;M;19990301;19990301;555000;C;R;RESIDENCE;;;;;
B;208;2035255;;;;;61 - 69;MACQUARIE ST;CIRCULAR QUAY;2000;1509;M;19990301;19990301;565000;C;R;RESIDENCE;;;;;
B;208;2035255;;;;;61 - 69;MACQUARIE ST;CIRCULAR QUAY;2000;1509;M;19990301;19990301;570000;C;R;RESIDENCE;;;;;
B;208;2035255;;;;;61 - 69;MACQUARIE ST;CIRCULAR QUAY;2000;1509;M;19990301;19990301;590000;C;R;RESIDENCE;;;;;
B;208;2035255;;;;;61 - 69;MACQUARIE ST;CIRCULAR QUAY;2000;1509;M;19990301;19990301;595000;C;R;RESIDENCE;;;;;
B;208;2035255;;;;;61 - 69;MACQUARIE ST;CIRCULAR QUAY;2000;1509;M;19990301;19990301;600000;C;R;RESIDENCE;;;;;
B;208;2035255;;;;;61 - 69;MACQUARIE ST;CIRCULAR QUAY;2000;1509;M;19990301;19990301;650000;C;R;RESIDENCE;;;;;
B;208;2035255;;;;;61 - 69;MACQUARIE ST;CIRCULAR QUAY;2000;1509;M;19990301;19990301;665000;C;R;RESIDENCE;;;;;
B;208;2035255;;;;;61 - 69;MACQUARIE ST;CIRCULAR QUAY;2000;1509;M;19990301;19990301;675000;C;R;RESIDENCE;;;;;
B;208;2035255;;;;;61 - 69;MACQUARIE ST;CIRCULAR QUAY;2000;1509;M;19990301;19990301;700000;C;R;RESIDENCE;;;;;
B;208;2035255;;;;;61 - 69;MACQUARIE ST;CIRCULAR QUAY;2000;1509;M;19990301;19990301;705000;C;R;RESIDENCE;;;;;
B;208;2035255;;;;;61 - 69;MACQUARIE ST;CIRCULAR QUAY;2000;1509;M;19990301;19990301;715000;C;R;RESIDENCE;;;;;
B;208;2035255;;;;;61 - 69;MACQUARIE ST;CIRCULAR QUAY;2000;1509;M;19990301;19990301;720000;C;R;RESIDENCE;;;;;
B;208;2035255;;;;;61 - 69;MACQUARIE ST;CIRCULAR QUAY;2000;1509;M;19990301;19990301;725000;C;R;RESIDENCE;;;;;
B;208;2035255;;;;;61 - 69;MACQUARIE ST;CIRCULAR QUAY;2000;1509;M;19990301;19990301;730000;C;R;RESIDENCE;;;;;
B;208;2035255;;;;;61 - 69;MACQUARIE ST;CIRCULAR QUAY;2000;1509;M;19990301;19990301;810000;C;R;RESIDENCE;;;;;
B;208;2035255;;;;;61 - 69;MACQUARIE ST;CIRCULAR QUAY;2000;1509;M;19990301;19990301;820000;C;R;RESIDENCE;;;;;
B;208;2035255;;;;;61 - 69;MACQUARIE ST;CIRCULAR QUAY;2000;1509;M;19990301;19990301;850000;C;R;RESIDENCE;;;;;
B;208;2035255;;;;;61 - 69;MACQUARIE ST;CIRCULAR QUAY;2000;1509;M;19990301;19990301;915000;C;R;RESIDENCE;;;;;
B;208;2035255;;;;;61 - 69;MACQUARIE ST;CIRCULAR QUAY;2000;1509;M;19990301;19990301;1025000;C;R;RESIDENCE;;;;;
B;208;2035255;;;;;61 - 69;MACQUARIE ST;CIRCULAR QUAY;2000;1509;M;19990301;19990301;1200000;C;R;RESIDENCE;;;;;
B;208;2035255;;;;;61 - 69;MACQUARIE ST;CIRCULAR QUAY;2000;1509;M;19990301;19990301;2025000;C;R;RESIDENCE;;;;;
B;208;2035255;;;;;61 - 69;MACQUARIE ST;CIRCULAR QUAY;2000;1509;M;19990302;19990302;580000;C;R;RESIDENCE;;;;;
B;208;2035255;;;;;61 - 69;MACQUARIE ST;CIRCULAR QUAY;2000;1509;M;19990302;19990302;595000;C;R;RESIDENCE;;;;;
B;208;2035255;;;;;61 - 69;MACQUARIE ST;CIRCULAR QUAY;2000;1509;M;19990302;19990302;680000;C;R;RESIDENCE;;;;;
B;208;2035255;;;;;61 - 69;MACQUARIE ST;CIRCULAR QUAY;2000;1509;M;19990302;19990302;785000;C;R;RESIDENCE;;;;;
B;208;2035255;;;;;61 - 69;MACQUARIE ST;CIRCULAR QUAY;2000;1509;M;19990303;19990303;675000;C;R;RESIDENCE;;;;;
B;208;2035255;;;;;61 - 69;MACQUARIE ST;CIRCULAR QUAY;2000;1509;M;19990303;19990303;695000;C;R;RESIDENCE;;;;;
B;208;2035255;;;;;61 - 69;MACQUARIE ST;CIRCULAR QUAY;2000;1509;M;19990304;19990304;695000;C;R;RESIDENCE;;;;;
B;208;2035255;;;;;61 - 69;MACQUARIE ST;CIRCULAR QUAY;2000;1509;M;19990305;19990305;595000;C;R;RESIDENCE;;;;;
B;208;2035255;;;;;61 - 69;MACQUARIE ST;CIRCULAR QUAY;2000;1509;M;19990305;19990305;670000;C;R;RESIDENCE;;;;;
B;208;2035255;;;;;61 - 69;MACQUARIE ST;CIRCULAR QUAY;2000;1509;M;19990305;19990305;715000;C;R;RESIDENCE;;;;;
B;208;2035255;;;;;61 - 69;MACQUARIE ST;CIRCULAR QUAY;2000;1509;M;19990305;19990305;780000;C;R;RESIDENCE;;;;;
B;208;2035255;;;;;61 - 69;MACQUARIE ST;CIRCULAR QUAY;2000;1509;M;19990305;19990305;2600000;C;R;RESIDENCE;;;;;
B;208;2035255;;;;;61 - 69;MACQUARIE ST;CIRCULAR QUAY;2000;1509;M;19990307;19990307;660000;C;R;RESIDENCE;;;;;
B;208;2035255;;;;;61 - 69;MACQUARIE ST;CIRCULAR QUAY;2000;1509;M;19990308;19990308;660000;C;R;RESIDENCE;;;;;
B;208;2035255;;;;;61 - 69;MACQUARIE ST;CIRCULAR QUAY;2000;1509;M;19990308;19990308;875000;C;R;RESIDENCE;;;;;
B;208;2035255;;;;;61 - 69;MACQUARIE ST;CIRCULAR QUAY;2000;1509;M;19990309;19990309;650000;C;R;RESIDENCE;;;;;
B;208;2035255;;;;;61 - 69;MACQUARIE ST;CIRCULAR QUAY;2000;1509;M;19990310;19990310;1025000;C;R;RESIDENCE;;;;;
B;208;2035255;;;;;61 - 69;MACQUARIE ST;CIRCULAR QUAY;2000;1509;M;19990310;19990310;1225000;C;R;RESIDENCE;;;;;
B;208;2035255;;;;;61 - 69;MACQUARIE ST;CIRCULAR QUAY;2000;1509;M;19990310;19990310;3175000;C;R;RESIDENCE;;;;;
B;208;2035255;;;;;61 - 69;MACQUARIE ST;CIRCULAR QUAY;2000;1509;M;19990311;19990311;740000;C;R;RESIDENCE;;;;;
B;208;2035255;;;;;61 - 69;MACQUARIE ST;CIRCULAR QUAY;2000;1509;M;19990311;19990311;2137500;C;R;RESIDENCE;;;;;
B;208;2035255;;;;;61 - 69;MACQUARIE ST;CIRCULAR QUAY;2000;1509;M;19990312;19990312;735000;C;R;RESIDENCE;;;;;
B;208;2035255;;;;;61 - 69;MACQUARIE ST;CIRCULAR QUAY;2000;1509;M;19990312;19990312;765000;C;R;RESIDENCE;;;;;
B;208;2035255;;;;;61 - 69;MACQUARIE ST;CIRCULAR QUAY;2000;1509;M;19990315;19990315;2250000;C;R;RESIDENCE;;;;;
B;208;2035255;;;;;61 - 69;MACQUARIE ST;CIRCULAR QUAY;2000;1509;M;19990317;19990317;600000;C;R;RESIDENCE;;;;;
B;208;2035255;;;;;61 - 69;MACQUARIE ST;CIRCULAR QUAY;2000;1509;M;19990317;19990317;1720000;C;R;RESIDENCE;;;;;
B;208;2035255;;;;;61 - 69;MACQUARIE ST;CIRCULAR QUAY;2000;1509;M;19990318;19990318;895000;C;R;RESIDENCE;;;;;
B;208;2035255;;;;;61 - 69;MACQUARIE ST;CIRCULAR QUAY;2000;1509;M;19990319;19990319;620000;C;R;RESIDENCE;;;;;
B;208;2035255;;;;;61 - 69;MACQUARIE ST;CIRCULAR QUAY;2000;1509;M;19990319;19990319;1650000;C;R;RESIDENCE;;;;;
B;208;2035255;;;;;61 - 69;MACQUARIE ST;CIRCULAR QUAY;2000;1509;M;19990319;19990319;1670000;C;R;RESIDENCE;;;;;
B;208;2035255;;;;;61 - 69;MACQUARIE ST;CIRCULAR QUAY;2000;1509;M;19990322;19990322;555000;C;R;RESIDENCE;;;;;
B;208;2035255;;;;;61 - 69;MACQUARIE ST;CIRCULAR QUAY;2000;1509;M;19990322;19990322;1000000;C;R;RESIDENCE;;;;;
B;208;2035255;;;;;61 - 69;MACQUARIE ST;CIRCULAR QUAY;2000;1509;M;19990322;19990322;2200000;C;R;RESIDENCE;;;;;
