B;082;2844750;329;20011109 09:52;;;;;MT COLAH;;;;20000314;20010726;250000;;V;VACANT LAND;;;;;7810505;
B;082;625255;4;20021217 14:35;;;17;AMAROO AVE;MT COLAH;2079;720.8;M;20020923;20021113;450000;A;R;RESIDENCE;;EP;;;9163583;
B;082;625972;6;20021217 14:35;;;44;ARTHURS CIR;MT COLAH;2079;723.6;M;20020704;20021115;455000;A;R;RESIDENCE;;EP;;;9158433;
B;082;652231;55;20021217 14:35;;;22;LANDRA AVE;MT COLAH;2079;2061;M;20020921;20021114;479000;A;R;RESIDENCE;;EP;;;9157698;
B;082;653822;63;20021217 14:35;;;37 A;LORD ST;MT COLAH;2079;757.8;M;20021001;20021111;475000;A;R;RESIDENCE;;EE;;;9154038;
B;082;658357;69;20021217 14:35;;;3;NARRABURRA CL;MT COLAH;2079;739.8;M;20021105;20021129;507500;A;R;RESIDENCE;;EP;;;9183325;
B;082;663696;80;20021217 14:35;;;47;PARKLANDS RD;MT COLAH;2079;1410;M;20020827;20021101;450000;A;R;RESIDENCE;;EP;;;9180949;
B;082;626915;5;20030102 11:30;;;31;BANYULA PL;MT COLAH;2079;705.6;M;20020923;20021115;555000;A;R;RESIDENCE;;EP;;;9214118;
B;082;642263;30;20030102 11:30;;;32;FLORA AVE;MT COLAH;2079;1005;M;20020806;20020912;472500;A;R;RESIDENCE;;EP;;;8978097;
B;082;644420;32;20030102 11:30;;;2;GLORIA CL;MT COLAH;2079;7;M;20021018;20021129;412000;A;R;RESIDENCE;;EP;;;9192265;
B;082;652232;46;20030102 11:30;;;20;LANDRA AVE;MT COLAH;2079;1733;M;20021017;20021128;450000;A;R;RESIDENCE;;EP;;;9215075;
B;082;670754;80;20030102 11:30;;;41;SPRIGG PL;MT COLAH;2079;1287;M;20020321;20020419;408000;A;R;RESIDENCE;;EP;;;9208856;
B;082;628586;15;20021204 09:04;;;28;BEROWRA RD;MT COLAH;2079;419.9;M;20021118;20021118;138500;A;R;RESIDENCE;;EP;;;9143610;
B;082;628863;17;20021204 09:04;;;6;DONLEA WAY;MT COLAH;2079;779;M;20020527;20020627;409000;A;R;RESIDENCE;;EP;;;9141482;
B;082;652271;59;20021204 09:04;;;1;LANCELOT ST;MT COLAH;2079;697.7;M;20021018;20021115;550000;A;R;RESIDENCE;;EP;;;9140184;
B;082;658632;75;20021204 09:04;;;15;NERIDAH AVE;MT COLAH;2079;769.3;M;20020712;20021018;506500;A;R;RESIDENCE;;EP;;;9059780;
B;082;663635;84;20021204 09:04;;;46;PARKLANDS RD;MT COLAH;2079;427.8;M;20021010;20021121;422500;A;R;RESIDENCE;;EP;;;9151300;
B;082;663731;85;20021204 09:04;;;5;PARKLANDS RD;MT COLAH;2079;798.5;M;20020830;20021108;440000;A;R;RESIDENCE;;EP;;;9120016;
B;082;625513;5;20030416 10:03;;;11;ANNABELLE PL;MT COLAH;2079;746.1;M;20030214;20030328;400000;A;R;RESIDENCE;;EP;;;9512902;
B;082;650125;52;20030416 10:03;;;27;KALANG RD;MT COLAH;2079;716.5;M;20021002;20030328;560000;A;R;RESIDENCE;;EE;;;9513570;
B;082;676253;98;20030416 10:04;;2;20;WILLARONG RD;MT COLAH;2079;;;20030222;20030407;393000;;R;RESIDENCE;2;;;;9516855;
B;082;2967894;123;20030416 10:04;;;15 A;VARNA ST;MT COLAH;2079;876.7;M;20021001;20030314;320000;;R;RESIDENCE;;;;;9499428;
B;082;626093;9;20030501 12:39;;;4;ASHLEIGH MADISON WAY;MT COLAH;2079;883.3;M;20021202;20030409;611500;A;R;RESIDENCE;;EE;;;9546024;
B;082;643336;37;20030501 12:39;;;8;GABRIELLE CL;MT COLAH;2079;451.6;M;20030224;20030409;430000;A;R;RESIDENCE;;EP;;;9533660;
B;082;665428;72;20030501 12:40;;;3 A;POINCIANA CL;MT COLAH;2079;800.8;M;20030219;20030401;330000;A;V;VACANT LAND;;EP;;;9529428;
B;082;625987;7;20030818 09:53;;;16;ARTHURS CIR;MT COLAH;2079;763.6;M;20030610;20030725;490000;A;R;RESIDENCE;;EP;;0;9854629;
B;082;642759;43;20030818 09:53;;;27;FOXGLOVE RD;MT COLAH;2079;690.5;M;20030505;20030728;592000;A;R;RESIDENCE;;EP;;0;9843354;
B;082;658012;84;20030818 09:53;;;1 D;BERRY PARK WAY;MT COLAH;2079;232.2;M;20030605;20030717;450000;A;R;RESIDENCE;;EP;;0;9864908;
B;082;661745;96;20030818 09:53;;;41;OXLEY DR;MT COLAH;2079;756.1;M;20030523;20030718;457500;A;R;RESIDENCE;;EP;;0;9846106;
B;082;657751;62;20030901 12:48;;;39;MURRALONG RD;MT COLAH;2079;1214;M;20030710;20030812;443500;A;R;RESIDENCE;;EP;;0;9890952;
B;082;3019377;134;20030901 12:48;;;9;POINCIANA CL;MT COLAH;2079;549.3;M;20030501;20030730;365000;;V;VACANT LAND;;;;0;9867824;
B;082;633079;23;20030217 09:25;;;5;CARIBBEAN PL;MT COLAH;2079;921.6;M;20021122;20030207;560000;A;R;RESIDENCE;;EP;;;9370609;
