B;117;2831000;37;20010822 12:44;;;;;YARRAGONG;;;;20010412;20010412;0;;3;FARM ;;;;;7640576;
B;117;3558155;4;20110117 02:15;WEST YALLAKOOL;;;;YARRAGONG;2871;286.2;H;20100714;20101022;440000;;3;FARM;;;;0;AF941116;
