B;072;2964461;15;20030303 12:15;;;605;EAST GILMORE RD;GILMORE VIA TUMUT;2720;;;20020525;20030224;125000;;V;VACANT LAND;;;;;9408192;
B;072;2961360;48;20030204 12:15;;;LOT119,574;BATLOW ROAD;GILMORE VIA TUMUT;2720;9738;M;20021002;20021002;145000;;R;RESIDENCE;;;;;9051675;
