B;152;1711601;136;20010719 11:47;;;;2 PH WOOGOOLGA CROWN SUBD;ARRAWARRA;2456;512.2;M;19911210;19911210;0;A;3;HOUSE;;GA;ACI;;6755596;
B;152;1712456;143;20010719 11:47;;;;PH WOOGOOLGA DP 26125;ARRAWARRA;2456;524.8;M;20010124;20010124;0;A;R;;;GC;;;7523279;
B;152;1712458;144;20010719 11:47;;;;PH WOOGOOLGA DP 26125;ARRAWARRA;2456;663.9;M;20010405;20010405;50000;A;V;;;GB;;;7542938;
B;152;1712456;165;20010720 10:25;;;;PH WOOGOOLGA DP 26125;ARRAWARRA;2456;524.8;M;20010414;20010523;89000;A;R;;;GC;;;7714548;
B;152;1712460;200;20010822 12:17;;;;PH WOOGOOLGA DP 26125;ARRAWARRA;2456;651.3;M;20010309;20010309;0;A;R;;;GB;ACI;;7502486;
B;152;1712479;180;20011203 12:26;;;;ELLEM CL;ARRAWARRA;2456;2209;M;20011009;20011106;120000;A;R;RESIDENCE;;GB;;;8118820;
B;152;1712459;288;20020109 09:30;;;27;ARRAWARRA BEACH RD;ARRAWARRA;2456;537.5;M;20010321;20010412;80000;A;R;RESIDENCE;;GB;AC;;7576952;
B;152;1712463;289;20020109 09:30;;;;ARRAWARRA BEACH RD;ARRAWARRA;2456;651.3;M;20010214;20010314;180000;A;R;RESIDENCE;;GB;AC;;7900365;
B;152;1712453;115;20020816 14:32;;;2;ARRAWARRA BEACH RD;ARRAWARRA;2456;777.8;M;20020528;20020625;168500;A;R;RESIDENCE;;GB;AC;;8822840;
B;152;1711613;165;20020301 13:05;;;1;THIRD AVE;ARRAWARRA;2456;543.8;M;20011220;20011221;170000;A;R;RESIDENCE;;GA;AC;;8318182;
B;152;1711438;95;20021204 09:36;;;;ARRAWARRA BEACH RD;ARRAWARRA;2456;2.595;H;20020807;20020902;1900000;A;V;VACANT LAND;;BQ;BP;;9127640;
B;152;1712460;85;20021016 12:13;;;29;ARRAWARRA BEACH RD;ARRAWARRA;2456;651.3;M;20020403;20020412;102000;A;R;RESIDENCE;;GB;;;9019903;
B;152;1711445;140;20021001 12:08;;;74;EGGINS DR;ARRAWARRA;2456;11.93;H;20011213;20020116;460000;P;R;RESIDENCE;;EL;RF;;8411299;
B;152;1712478;49;20040102 14:01;;;8;ELLEM CL;ARRAWARRA;2456;4021;M;20030721;20030721;28000;A;V;VACANT LAND;;GB;;0;AA271570;
B;152;1711486;110;20030217 09:32;;;;PACIFIC HWY;ARRAWARRA;2456;32.56;H;20021022;20021119;585000;P;V;VACANT LAND;;EL;RV;;9350269;
B;152;2996013;154;20030801 12:30;;;;ARRAWARRA BEACH RD;ARRAWARRA;2456;2.598;H;20030625;20030627;960000;A;3;CARAVAN PARK;;BQ;;0;9745704;
