B;902;3475711;1;20110801 02:41;KORALTA STATION;;11520;BARRIER HWY;LITTLE TOPAR;2880;24639;H;20101208;20110221;1650000;;3;GRAZING;;;;0;AG122412;
B;902;3263963;1;20170417 01:11;;;4520;BARRIER HWY;LITTLE TOPAR;2880;;;20161209;20170316;1160254;;3;SHEDS;;;;0;AM251530;
B;902;3264937;1;20170605 01:11;LANGIDOON STATION;;13620;BARRIER HWY;LITTLE TOPAR;2880;;;20160824;20170314;600000;;3;RURAL;;;;0;AM252843;
B;902;4176541;1;20181210 01:18;;;11839;BARRIER HWY;LITTLE TOPAR;2880;20904.2;H;20180814;20181130;2000;;3;FARM;;;;0;AN900108;
B;902;4176541;2;20181210 01:18;;;11839;BARRIER HWY;LITTLE TOPAR;2880;20904.2;H;20180814;20181130;2585150;;3;FARM;;;;0;AN900109;
B;902;3468767;1;20200120 01:04;;;11908;BARRIER HWY;LITTLE TOPAR;2880;4.472;H;20181108;20190117;7200;;3;ROADHOUSE;;;;0;AP29446;
B;902;3468767;2;20200120 01:04;;;11908;BARRIER HWY;LITTLE TOPAR;2880;4.472;H;20181108;20190117;142800;;V;VACANT LAND;;;;0;AP29447;
B;902;3264937;1;20210503 01:04;LANGIDOON STATION;;13620;BARRIER HWY;LITTLE TOPAR;2880;;;20201223;20210412;5400000;;R;RESIDENCE;;;;0;AQ951812;
B;902;4176542;1;20210607 01:03;;;;BARRIER HWY;LITTLE TOPAR;2880;31534.19;H;20210209;20210521;4499990;;3;FARM;;;;0;AR71496;
B;902;3421468;2;20210607 01:03;METFORD STATION;;13206;BARRIER HWY;LITTLE TOPAR;2880;24814;H;20210401;20210521;4249999;;R;RESIDENCE;;;;0;AR72216;
B;902;4176542;1;20240812 01:09;;;;BARRIER HWY;LITTLE TOPAR;2880;31534.19;H;20240611;20240625;8390000;;V;VACANT LAND;;;;0;AU187705;
