B;247;3556407;7;20110808 03:31;;;;;BELLATA & JEWS LAGOON;;42.15;H;20100824;20101006;48997;;3;CLOSED ROAD;;;;0;AG371975;
B;247;3556408;8;20110808 03:31;;;;;BELLATA & JEWS LAGOON;;9.732;H;20100824;20101006;48997;;3;CLOSED ROAD;;;;0;AG371975;
