B;560;528955;5;20230206 01:09;;;165;HULMS RD;YARARA;2644;340.9;H;20221216;20230127;9586300;RU1;3;FARM;;RPF;;0;AS818367;
B;560;3687713;16;20160118 01:27;;;445;COPPABELLA RD;YARARA;2644;248.71;H;20121206;20151201;900000;RU1;3;FARM;;RNE;;0;AK108881;
B;560;3400137;2;20160725 01:09;;;63;COPPABELLA RD;YARARA;2644;109.9;H;20121206;20160502;525000;RU1;3;FARM;;RNE;;0;AK599628;
B;560;3425075;1;20120730 01:25;;;;COPPABELLA RD;YARARA;2644;670.4;H;20111206;20120521;37425761;R;3;FARM FORESTRY;;NR;RTO;0;AH1100;
B;560;3426512;2;20120730 01:25;;;;FOUR MILE LANE;YARARA;2644;325.7;H;20111206;20120521;37425761;R;3;FARM FORESTRY;;NR;RTO;0;AH1100;
B;560;3425075;2;20120625 01:51;;;;COPPABELLA RD;YARARA;2644;670.4;H;20111206;20120521;37425761;R;3;FARM FORESTRY;;NR;;0;AH1100;
B;560;3426512;3;20120625 01:51;;;;FOUR MILE LANE;YARARA;2644;325.7;H;20111206;20120521;37425761;R;3;FARM FORESTRY;;NR;;0;AH1100;
B;560;3400138;3;20130603 01:24;;;63;COPPABELLA RD;YARARA;2644;64.68;H;20121206;20130502;175000;RU1;3;FARM;;HNE;;0;AH741316;
B;560;3425074;2;20130610 01:21;;;786;COPPABELLA RD;YARARA;2644;71.45;H;20130408;20130524;600000;RU1;3;FARMLANDS;;HNE;;0;AH767715;
B;560;3306198;10;20140310 01:17;;;2955;JINGELLIC RD;YARARA;2644;63.21;H;20140113;20140130;385000;RU1;3;FARM;;HNE;;0;AI384505;
