B;074;569819;44;20011109 08:52;;;2396;DREW RD;BAILLIE;2680;218.8;H;20010104;20010201;900000;R;3;FARM;;RR;RS;;7497991;
B;074;568602;29;20011203 12:23;;;30;DOSSETOR RD;BAILLIE;2680;253.5;H;20001013;20010601;1002200;R;3;FARMING PROPE;;RR;;;7705983;
