B;103;;153;20030619 14:24;;1;27;MT KEIRA ROAD;MT KEIRA;2500;;;20030205;20030321;334900;;R;RESIDENCE;1;;;0;9673496;
B;226;2604705;75;20040601 12:06;;;LOT1;DP 793579;MT KEIRA;;12145;H;20020510;20020510;621039;R;3;VARIOUS;;TM;;0;8980591;
B;103;1129554;8;20041116 08:18;;;14;BALOOK ST;MT KEIRA;2500;556.4;M;20040914;20041011;200000;A;R;RESIDENCE;;AZ;;0;AB59094;
B;226;2604705;19;20050502 14:22;;;LOT1;DP 793579;MT KEIRA;;12145;H;20020510;20020510;621039;R;3;VARIOUS;;TM;MC;0;8980591;
