B;222;2841684;64;20020109 09:15;;;;;MARRANGAROO FIELDS;;;;20010815;20010913;70000;;V;VACANT LAND;;;AV;;8010012;
B;222;2841681;90;20011109 13:08;;;;;MARRANGAROO FIELDS;;;;20010612;20010828;78000;;V;VACANT LAND;;;;;7922241;
