B;251;2673269;4;20031103 14:35;;;;MIENGUNYAH;NARROMINE NSW;2821;1380.44;H;20030620;20030912;1157880;R;3;RURAL LAND;;RR;;0;AA34438;
B;251;3668696;4;20121224 02:05;;;DARGONDALE;512 COBBOCO RD;NARROMINE NSW;2821;222;H;20121011;20121123;300000;RU1;V;VACANT LAND;;RRN;;0;AH413827;
B;251;3735744;3;20131111 01:19;;;LOT 3/1182;OFF WINGFIELD ROAD;NARROMINE NSW;2821;1.213;H;20120820;20131011;6239;;V;VACANT LAND;;;;0;AI105733;
B;251;3792846;4;20140908 01:15;;;LOT 1/1198;OFF PARKES NARROMINE RAILWAY;NARROMINE NSW;2821;2.145;H;20140529;20140815;2219;;V;VACANT LAND;;;;0;AI843031;
