B;902;3490363;1;20160201 01:29;;;;GIPPS ST;SILVERTON;2880;2472;M;20151103;20151214;175000;;R;RESIDENCE;;;;0;AK99966;
B;902;3468795;2;20210301 01:04;WHITE LEEDS;;;;SILVERTON;2880;2652.356;H;20201109;20201109;250000;;3;GRAZING;;;;0;AQ623128;
B;902;3511637;1;20230410 01:19;;;;STIRLING ST;SILVERTON;2880;1012;M;20230324;20230328;250000;;R;RESIDENCE;;;;0;AS961788;
B;902;3264549;1;20240916 01:08;;;;SILVERTON RD;SILVERTON;2880;1.169;H;20240605;20240827;300000;;3;COMMERCIAL;;;;0;AU366356;
B;902;4347150;1;20231016 01:40;BELMONT STATION;;;WILANGEE RD;SILVERTON;2880;34575;H;20230607;20230908;5000000;;3;FARM;;;;0;AT422923;
B;902;4044662;1;20170717 01:13;;;;WILANGEE RD;SILVERTON;2880;9486;H;20170601;20170601;564000;;3;GRAZING;;;;0;AM530247;
B;902;3264156;1;20240819 01:09;;;;BURKE ST;SILVERTON;2880;2529.8;M;20240724;20240807;380000;;R;RESIDENCE;;;;0;AU310153;
B;902;3266361;1;20221219 01:08;;;8;STIRLING ST;SILVERTON;2880;525.85;M;20221117;20221130;275000;;R;RESIDENCE;;;;0;AS680583;
B;902;3266361;1;20161121 01:10;;;8;STIRLING ST;SILVERTON;2880;525.85;M;20160815;20160928;270000;;R;RESIDENCE;;;;0;AK907691;
B;902;3264555;1;20170522 01:14;;;1939;SILVERTON RD;SILVERTON;2880;;;20161118;20170215;365000;;R;RESIDENCE;;;;0;AM196858;
B;902;3264557;1;20180423 01:20;;;LOT 10;LAYARD STREET;SILVERTON;2880;;;20180219;20180226;170000;;R;RESIDENCE;;;;0;AN259801;
B;902;3265997;1;20231023 01:37;;;;SILVERTON RD;SILVERTON;2880;2.298;H;20230714;20231006;220000;;R;RESIDENCE;;;;0;AT500472;
B;902;3264971;1;20241223 01:12;CAMEL PARK;;1772;SILVERTON RD;SILVERTON;2880;;;20240501;20241104;100000;;R;RESIDENCE;;;;0;AU554121;
B;902;3264156;1;20210927 03:13;;;;BURKE ST;SILVERTON;2880;2529.8;M;20210728;20210908;375000;;R;RESIDENCE;;;;0;AR411152;
B;902;3264156;2;20210927 03:13;;;;BURKE ST;SILVERTON;2880;2529.8;M;20210728;20210908;375000;;R;RESIDENCE;;;;0;AR411153;
B;902;3264965;11;20060816 01:22;UMBERUMBERKA CREEK;;;;SILVERTON;2880;;;20010406;20010608;80000;;R;RESIDENCE;;;;0;7737217;
