B;250;3880910;4;20160201 01:27;;;LOT 1 DP 1;BRUXNER HWY;TABULAM  NSW;2469;2393;M;20150710;20151106;323;;V;VACANT LAND;;;;0;AK35567;
B;250;3905408;7;20160201 01:27;;;LOT 1 DP 1;BRUXNER HWY;TABULAM  NSW;2469;2393;M;20150710;20151106;323;;V;VACANT LAND;;;;0;AK35567;
