B;013;318522;184;20020502 11:58;;;7;SEABREEZE PDE;GREEN POINT (FORSTER);2428;575.4;M;20020315;20020328;150000;Z;R;RESIDENCE;;DS;;;8527268;
B;013;318227;57;20020816 12:59;;;5;EMERALD PL;GREEN POINT (FORSTER);2428;581.7;M;20020626;20020724;229000;Z;R;RESIDENCE;;DS;;;8814670;
B;013;318436;58;20020816 12:59;;;24;SEABREEZE PDE;GREEN POINT (FORSTER);2428;613.4;M;20020621;20020712;193000;Z;R;RESIDENCE;;DT;;;8825125;
B;013;318503;59;20020816 12:59;;;47;SEABREEZE PDE;GREEN POINT (FORSTER);2428;594.4;M;20020418;20020530;50000;Z;V;VACANT LAND;;DS;AV;;8662594;
B;013;2918694;125;20020816 12:59;;;73;SEABREEZE PDE;GREEN POINT (FORSTER);2428;701.9;M;20020604;20020702;58000;Z;V;VACANT LAND;;DS;AV;;8779119;
B;013;318421;64;20020902 13:24;;;12;LUCAS AVE;GREEN POINT (FORSTER);2428;594.4;M;20020514;20020710;37000;Z;V;VACANT LAND;;DS;;;8890694;
B;013;318342;111;20020301 13:39;;;131;GREEN POINT DR;GREEN POINT (FORSTER);2428;619.7;M;20011221;20020125;136000;Z;R;RESIDENCE;;DU;AC;;8329953;
B;013;318505;112;20020301 13:39;;;43;SEABREEZE PDE;GREEN POINT (FORSTER);2428;746.1;M;20011203;20020121;42000;Z;V;VACANT LAND;;DS;AV;;8339580;
B;013;318251;132;20020201 12:18;;;2;FRAZER AVE;GREEN POINT (FORSTER);2428;632.3;M;20010321;20011214;169000;Z;R;RESIDENCE;;DR;AC;;8250526;
B;013;318283;133;20020201 12:18;;;72;GREEN POINT DR;GREEN POINT (FORSTER);2428;733.5;M;20011102;20011207;72000;Z;V;VACANT LAND;;DR;AV;;8253429;
B;013;318356;134;20020201 12:18;;;103;GREEN POINT DR;GREEN POINT (FORSTER);2428;4878;M;20011120;20011219;335000;Z;R;RESIDENCE;;DR;AC;;8261698;
B;013;318512;135;20020201 12:18;;;27;SEABREEZE PDE;GREEN POINT (FORSTER);2428;708.2;M;20010918;20011218;95000;Z;R;RESIDENCE;;DS;;;8296142;
B;013;318286;78;20020716 14:52;;;78;GREEN POINT DR;GREEN POINT (FORSTER);2428;682.9;M;20020430;20020611;189000;Z;R;RESIDENCE;;DR;;;8725989;
B;013;318325;79;20020716 14:52;;;160;GREEN POINT DR;GREEN POINT (FORSTER);2428;613.4;M;20020523;20020620;148000;Z;R;RESIDENCE;;DU;;;8761555;
B;013;318488;80;20020716 14:52;;;79;SEABREEZE PDE;GREEN POINT (FORSTER);2428;758.8;M;20020521;20020702;63000;Z;V;VACANT LAND;;DS;;;8754657;
B;013;2918694;159;20020716 14:52;;;73;SEABREEZE PDE;GREEN POINT (FORSTER);2428;701.9;M;20011217;20020131;50000;;V;VACANT LAND;;;AV;;8349931;
B;013;318237;52;20020801 13:41;;;16;EMERALD PL;GREEN POINT (FORSTER);2428;;;20020521;20020702;183500;Z;R;RESIDENCE;;DS;;;8791578;
B;013;318331;53;20020801 13:41;;;151;GREEN POINT DR;GREEN POINT (FORSTER);2428;613.4;M;20020503;20020614;46500;Z;V;VACANT LAND;;DU;;;8772742;
B;013;318401;54;20020801 13:41;;;13;GREEN POINT DR;GREEN POINT (FORSTER);2428;777.8;M;20020514;20020709;320000;Z;R;RESIDENCE;;DQ;;;8790056;
B;013;318378;56;20020617 11:55;;;59;GREEN POINT DR;GREEN POINT (FORSTER);2428;619.7;M;20020313;20020524;300000;Z;R;RESIDENCE;;DQ;;;8655356;
B;013;318470;57;20020617 11:55;;;88;SEABREEZE PDE;GREEN POINT (FORSTER);2428;613.4;M;20020321;20020429;45000;Z;V;VACANT LAND;;DT;;;8647916;
B;013;318220;76;20020702 07:44;;;19;EMERALD PL;GREEN POINT (FORSTER);2428;594.4;M;20020417;20020529;73000;Z;R;RESIDENCE;;DS;;;8691476;
B;013;318418;77;20020702 07:44;;;6;LUCAS AVE;GREEN POINT (FORSTER);2428;714.5;M;20020502;20020530;69000;Z;V;VACANT LAND;;DS;;;8677901;
B;013;318315;101;20020402 13:24;;;140;GREEN POINT DR;GREEN POINT (FORSTER);2428;607;M;20020117;20020228;157000;Z;R;RESIDENCE;;DU;AC;;8425976;
B;013;318418;102;20020402 13:24;;;6;LUCAS AVE;GREEN POINT (FORSTER);2428;714.5;M;20020201;20020305;54000;Z;V;VACANT LAND;;DS;AV;;8418379;
B;013;318420;103;20020402 13:24;;;10;LUCAS AVE;GREEN POINT (FORSTER);2428;600.7;M;20020117;20020221;135000;Z;R;RESIDENCE;;DS;AC;;8437824;
B;013;318461;104;20020402 13:24;;;72;SEABREEZE PDE;GREEN POINT (FORSTER);2428;613.4;M;20020122;20020305;43000;Z;V;VACANT LAND;;DT;AV;;8421992;
B;013;318506;105;20020402 13:24;;;41;SEABREEZE PDE;GREEN POINT (FORSTER);2428;613.4;M;20020115;20020212;190000;Z;R;RESIDENCE;;DS;AC;;8414937;
B;013;318223;226;20020603 09:46;;;13;EMERALD PL;GREEN POINT (FORSTER);2428;581.7;M;20020312;20020507;199000;Z;R;RESIDENCE;;DS;;;8601807;
B;013;318281;227;20020603 09:46;;;68;GREEN POINT DR;GREEN POINT (FORSTER);2428;796.7;M;20020326;20020430;85000;Z;V;VACANT LAND;;DR;AV;;8574495;
B;013;318460;228;20020603 09:46;;;70;SEABREEZE PDE;GREEN POINT (FORSTER);2428;613.4;M;20020122;20020305;153000;Z;R;RESIDENCE;;DT;AC;;8596820;
B;013;318497;229;20020603 09:46;;;59;SEABREEZE PDE;GREEN POINT (FORSTER);2428;632.3;M;20020404;20020516;49000;Z;V;VACANT LAND;;DS;;;8621314;
B;013;318509;230;20020603 09:46;;;33;SEABREEZE PDE;GREEN POINT (FORSTER);2428;714.5;M;20020326;20020430;47000;Z;V;VACANT LAND;;DS;;;8616176;
