B;214;;;;;;423;PENNANT HILLS RD;PENNANTHILLS;2120;;;19970219;19970219;2820000;;R;RESIDENCE;;;;;
B;214;;;;;;423;PENNANT HILLS ROAD;PENNANTHILLS;2120;;;19970219;19970219;2820000;;R;RESIDENCE;;;;;
B;214;;;;;;423;PENNANTH HILLS ROAD;PENNANTHILLS;2120;;;19970219;19970219;2820000;;R;RESIDENCE;;;;;
B;214;;;;;;423;PENNANTHILLSROAD;PENNANTHILLS;2120;;;19970219;19970219;2820000;;R;RESIDENCE;;;;;
B;214;;;;;;423;PENNANT HILLS RD;PENNANTHILLS;2120;;;19980909;19980909;103000;;R;RESIDENCE;;;;;
B;214;;;;;;423;PENNANT HILLS RD;PENNANTHILLS;2120;;;19980909;19980909;981000;;R;RESIDENCE;;;;;
B;214;;;;;;423;PENNANT HILLS RD;PENNANTHILLS;2120;;;19980912;19980912;98000;;R;RESIDENCE;;;;;
B;214;;;;;;423;PENNANT HILLS ROAD;PENNANTHILLS;2120;;;19980722;19980722;102000;;R;RESIDENCE;;;;;
B;214;;;;;;423;PENNANT HILLS ROAD;PENNANTHILLS;2120;;;19980731;19980731;98000;;R;RESIDENCE;;;;;
B;214;;;;;;423;PENNANT HILLS ROAD;PENNANTHILLS;2120;;;19980731;19980731;100000;;R;RESIDENCE;;;;;
B;214;;;;;;423;PENNANTH HILLS ROAD;PENNANTHILLS;2120;;;19980831;19980831;98000;;R;RESIDENCE;;;;;
B;214;;;;;;423;PENNANTHILLSROAD;PENNANTHILLS;2120;;;19980912;19980912;98000;;R;RESIDENCE;;;;;
