B;072;554389;1;20020109 09:11;;;;CALAFAT RD;CALAFAT;2729;94.22;H;19990630;20000707;100000;R;V;VACANT LAND;;RX;RM;;7653940;
B;072;555900;6;20070316 01:08;;;490;REKA RD;CALAFAT;2729;24.25;H;20070118;20070222;130000;R;3;FARM;;TL;;0;AC958372;
B;072;2908926;12;20070316 01:08;;;490;REKA RD;CALAFAT;2729;691.389;H;20070118;20070222;3720000;R;3;FARM;;RQ;;0;AC958412;
