B;208;2895058;233;20020502 11:53;;;;;WALSH BAY;2000;;;20011203;20020402;2115000;;R;RESIDENCE;4;;;;8525570;
B;208;2895058;76;20030102 11:38;;;26;POTTINGER ST;WALSH BAY;2011;;;20021108;20021129;2295000;;R;RESIDENCE;13;;;;9200140;
B;208;;268;20020301 13:21;;;;;WALSH BAY;2000;;;20011010;20020131;2360000;;R;RESIDENCE;10;;;;8323304;
B;208;;269;20020301 13:21;;;;;WALSH BAY;2000;;;20011010;20020208;2234400;;3;STRATA TERRAC;6;;;;8359264;
B;208;2895058;130;20020702 09:27;;;;;WALSH BAY;2000;;;20020226;20020409;2395000;;R;RESIDENCE;12;;;;8676515;
B;208;2895058;131;20020702 09:27;;;;;WALSH BAY;2000;;;20020214;20020430;2745000;;R;RESIDENCE;17;;;;8667271;
B;208;2895058;132;20020702 09:27;;;;;WALSH BAY;2000;;;20020206;20020408;2495000;;3;STRATA TERRAC;9;;;;8665904;
B;208;2895058;192;20020402 12:47;;;;;WALSH BAY;2000;;;20011010;20020226;2360000;;R;RESIDENCE;11;;;;8400783;
B;208;2895058;193;20020402 12:47;;;;;WALSH BAY;2000;;;20011010;20020226;2295000;;3;STRATA TERRAC;7;;;;8400772;
B;208;2895058;289;20020603 10:36;;;;;WALSH BAY;2000;;;20020308;20020430;2495000;;R;RESIDENCE;16;;;;8586456;
B;208;2895058;290;20020603 10:36;;;;;WALSH BAY;2000;;;20020326;20020503;2115000;;R;RESIDENCE;5;;;;8596959;
B;208;2895058;291;20020603 10:36;;;;;WALSH BAY;2000;;;20011221;20020429;2345000;;R;RESIDENCE;8;;;;8594807;
B;208;2895058;145;20021119 10:28;;2;4;POTTINGER STREET;WALSH BAY;;;;20020716;20021014;2135000;;R;RESIDENCE;2;;;;9065489;
B;208;2895058;114;20021204 09:44;;;6;POTTINGER ST;WALSH BAY;2000;;;20020725;20020912;209000;;R;RESIDENCE;3;;;;9128260;
B;208;2895058;131;20021016 12:36;;;;;WALSH BAY;2000;;;20020527;20020806;2895000;;3;TOWNHOUSE;1;;;;9012242;
B;208;2895058;109;20021101 12:06;;;30;POTTINGER ST;WALSH BAY;2000;;;20020827;20021011;2465000;;R;RESIDENCE;15;;;;9039643;
B;208;;115;20030501 12:48;;;APT512;PIER APTS, 19 HICKSON ROAD;WALSH BAY;2000;;;20000312;20030416;1945000;;3;;105;;;;9544894;
B;208;;116;20030501 12:48;;;APT401,19;HICKSON RD;WALSH BAY;;;;20000313;20030416;1070000;;R;RESIDENCE;68;;;;9546473;
B;208;;117;20030501 12:48;;410;19;HICKSON RD;WALSH BAY;;;;20000313;20030416;1280400;;R;RESIDENCE;76;;;;9544864;
B;208;;118;20030501 12:48;;410;19;HICKSON RD THE PIER APARTMENTS;WALSH BAY;2000;;;20030214;20030416;1440000;;R;RESIDENCE;76;;;;9544865;
