B;114;3508824;11;20100405 04:17;;;LOT1;DP 1144478;NUBINGERIE;;17.67;H;20091023;20100210;10397;;3;ROAD;;;;0;AF375031;
B;114;1237121;2;20100927 02:31;;;153 R;NUBINGERIE RD;NUBINGERIE;2831;273;H;20100728;20100908;275000;R;3;RURAL;;RD;;0;AF762364;
B;114;1237289;3;20110815 02:31;;;114 L;NUBINGERIE RD;NUBINGERIE;2831;576.6;H;20110317;20110427;1450000;R;3;FARMLAND;;RD;;0;AG407228;
B;114;3569736;17;20110328 01:39;;;LOT1-3;DP 1158153;NUBINGERIE;;29.82;H;20100308;20110203;14078;;3;CLOSED ROAD;;;;0;AG78113;
