B;142;3087400;105;20040701 10:55;;;APTB2.03/3;ARNCLIFFE ST;NORTH ARNCLIFFE;2205;;;20040430;20040603;365000;;R;RESIDENCE;15;;;0;AA736047;
B;142;3087400;109;20040701 10:55;;;B4.04/35;ARNCLIFFE STREET;NORTH ARNCLIFFE;2205;;;20020304;20040604;383000;;R;RESIDENCE;29;;;0;AA731346;
B;142;3087400;115;20040701 10:55;;;B7.06/35;ARNCLIFFE ST;NORTH ARNCLIFFE;2205;;;20020402;20040603;408000;;R;RESIDENCE;50;;;0;AA731954;
B;142;3087400;122;20040701 10:55;;;B10.05/35;ARNCLIFFE ST;NORTH ARNCLIFFE;2205;;;20031127;20040604;462000;;R;RESIDENCE;73;;;0;AA731967;
B;142;3087400;123;20040701 10:55;;;B11.06/35;ARNCLIFFE STREET;NORTH ARNCLIFFE;2205;;;20031127;20040610;470000;;R;RESIDENCE;80;;;0;AA732767;
B;142;3087400;125;20040701 10:55;;;B12.03/35;ARNCLIFFE ST;NORTH ARNCLIFFE;2205;;;20020418;20040603;458000;;R;RESIDENCE;90;;;0;AA731653;
B;142;3087400;130;20040701 10:55;;13.01;35;ARNCLIFFE ST;NORTH ARNCLIFFE;2205;;;20040322;20040618;466480;;R;RESIDENCE;99;;;0;AA741256;
B;142;3087504;136;20040701 10:55;;;APTE.203/3;ARNCLIFFE ST;NORTH ARNCLIFFE;2205;;;20020125;20040527;370000;;R;RESIDENCE;11;;;0;AA719444;
B;142;3087504;140;20040701 10:55;;;E3.02/35;ARNCLIFFE ST;NORTH ARNCLIFFE;2205;;;20020501;20040603;415000;;R;RESIDENCE;18;;;0;AA731471;
B;142;3087504;142;20040701 10:55;;;LOT22/35;ARNCLIFFE STREET;NORTH ARNCLIFFE;2205;;;20011204;20040528;360000;;R;RESIDENCE;22;;;0;AA725714;
B;142;3087533;151;20040701 10:55;;2.06;35;ARNCLIFFE STREET;NORTH ARNCLIFFE;2205;;;20020710;20040604;420000;;R;RESIDENCE;13;;;0;AA743536;
B;142;3087533;162;20040701 10:55;;6.03;35;ARNCLIFFE ST;NORTH ARNCLIFFE;2205;;;20020419;20040607;425000;;R;RESIDENCE;40;;;0;AA738313;
B;142;3087533;164;20040701 10:55;;;A7.01/35;ARNCLIFFE STREET;NORTH ARNCLIFFE;2205;;;20030729;20040604;545000;;R;RESIDENCE;46;;;0;AA724982;
B;142;3087533;167;20040701 10:55;;;A7.07/35;ARNCLIFFE ST;NORTH ARNCLIFFE;2205;;;20020327;20040609;465000;;R;RESIDENCE;52;;;0;AA729650;
B;142;3087533;173;20040701 10:55;;;APT10.01/B;35 ARNCLIFFE ST;NORTH ARNCLIFFE;2205;;;20020530;20040616;560000;;R;RESIDENCE;70;;;0;AA731635;
B;142;3087533;174;20040701 10:55;;76;35;ARNCLIFFE STREET;NORTH ARNCLIFFE;2205;;;20031112;20040604;510000;;R;RESIDENCE;76;;;0;AA731480;
B;142;3087533;176;20040701 10:55;;;A11.04/35;ARNCLIFFE STREET;NORTH ARNCLIFFE;2205;;;20040315;20040614;558600;;R;RESIDENCE;81;;;0;AA729428;
B;142;3087533;181;20040701 10:55;;;APT415.02/;ARNCLIFFE ST;NORTH ARNCLIFFE;2205;;;20020404;20040527;537500;;R;RESIDENCE;101;;;0;AA706326;
B;142;3087533;185;20040701 10:55;;113;35;ARNCLIFFE ST;NORTH ARNCLIFFE;2205;;;20030409;20040608;605000;;R;RESIDENCE;113;;;0;AA738479;
B;142;3087533;186;20040701 10:55;;;A18.03/35;ARNCLIFFE ST;NORTH ARNCLIFFE;2205;;;20030818;20040528;605000;;R;RESIDENCE;114;;;0;AA731203;
B;142;3088085;190;20040701 10:55;;;D105/35;ARNCLIFFE STREET;NORTH ARNCLIFFE;2205;;;20020403;20040610;295000;;R;RESIDENCE;5;;;0;AA742720;
B;142;3088085;191;20040701 10:55;;;D1.06/35;ARNCLIFFE ST;NORTH ARNCLIFFE;2205;;;20020410;20040601;380000;;R;RESIDENCE;6;;;0;AA732316;
