B;537;1221472;3;20110815 02:49;;;LOCHNAW;WEETALIBA;NSW;2395;860.43;H;20110616;20110712;1700000;R;3;RURAL LAND;;GD;;0;AG387878;
B;300;3590123;2;20111017 01:53;;;KALULAH LO;WARIALDA;NSW;2400;1.734;H;20110405;20110412;1180;;3;CLOSED ROAD;;;;0;AG516384;
B;171;4204816;21;20190506 01:04;;;CUDGEN, 15;COLLIER ST;NSW;2487;;;20170208;20190502;360000;;V;VACANT LAND;;;;0;AP226868;
B;259;4213098;78;20190617 01:09;;;GOSFORD, 5;MANN ST;NSW;2250;;;20170324;20190613;577500;;R;RESIDENCE;7;;;0;AP318639;
B;214;4446076;264;20221024 01:10;;;MARSDEN PA;BARRALLIER DR;NSW;2765;;;20210825;20221018;883990;;R;RESIDENCE;;;;0;AS557753;
B;214;4446076;265;20221024 01:10;;;MARSDEN PA;BARRALLIER DR;NSW;2765;;;20220304;20221018;1145000;;V;VACANT LAND;;;;0;AS557754;
B;144;4468848;55;20230306 01:07;;;KIRRAWEE, ;ORANA AV;NSW;2232;;;20221203;20230302;1585000;;R;RESIDENCE;;;;0;AS897422;
B;268;4477190;47;20230501 01:22;;;KILLABAKH,;INGLETON CL;NSW;2429;;;20211203;20230426;460000;;R;RESIDENCE;;;;0;AT33451;
