B;114;1225670;11;20100510 01:24;;;36 L;GIDGEE RD;WHYLANDRA;2830;10.11;H;20100311;20100422;395000;R;R;RESIDENCE;;HB;;0;AF459833;
B;114;3063205;13;20120305 21:53;;;;COOBA RD;WHYLANDRA;2830;10;H;20111209;20120203;230000;R;R;RESIDENCE;;HB;;0;AG833791;
B;114;1227783;9;20130812 01:21;;;9 L;GIDGEE RD;WHYLANDRA;2830;12.01;H;20130604;20130716;485000;RU2;R;RESIDENCE;;RFR;;0;AH899681;
B;114;1231363;16;20130311 01:34;;;2 L;GIDGEE RD;WHYLANDRA;2830;16.59;H;20121224;20130201;541000;RU2;R;RESIDENCE;;RFR;;0;AH552009;
