B;240;2977462;7;20030619 09:38;;;;NEWELLL HIGHWAY;UARGON CREEK;2827;302.2;M;20021028;20030123;500;;V;VACANT LAND;;;PR;0;9322318;
B;240;2977466;8;20030619 09:38;;;LOT7;DP 1044049 NEWELL HWAY;UARGON CREEK;2827;78.7;M;20021119;20030117;550;;R;RESIDENCE;;;PR;0;9322305;
