B;109;1213590;2;20030818 09:57;;;;"MALONGULLIE";VIA CUMNOCK;2867;1036;H;20030120;20030303;460000;R;R;RESIDENCE;;RH;RG;0;9456173;
B;130;2996040;40;20030701 14:23;;;LOT89&192;'ALAMBIE';VIA CUMNOCK;2867;242.8;H;20030317;20030430;365000;;3;FARM;;;;0;9656631;
B;130;2996042;42;20030701 14:23;;;LT3,52,211;'ALAMBIE';VIA CUMNOCK;2867;607.2;H;20030317;20030430;538616;;3;FARM;;;;0;9671348;
