B;575;;;;;;;;OBERNE;2650;373;H;19920625;19920625;190000;;R;RESIDENCE;;;;;
B;575;;;;;;;;OBERNE;2650;326;H;19930215;19930215;483900;;R;RESIDENCE;;;;;
