B;129;2894033;18;20020603 10:18;;;;CHIFLEY DAM RD;LAGOON;2795;137.5;H;20020122;20020417;190000;;3;FARM;;;;;8605239;
B;129;2894034;19;20020603 10:18;;;;CHIFLEY DAM RD;LAGOON;2795;221.2;H;20020322;20020426;280000;;3;;;;;;8634119;
