B;118;2997176;14;20030701 14:22;;;LOT413;663 FOREST REEFS RD;MILTHORPE;2798;;;20030521;20030521;43500;;V;VACANT LAND;;;;0;9635849;
B;109;1216009;12;20040901 11:24;;;LOTS5&6;ROUND HILL VITTORIA RD;MILTHORPE;2798;16.011;H;20040330;20040504;249000;R;V;VACANT LAND;;HD;;0;AA884697;
