B;656;2724475;18;20040616 12:08;;;7;WOODLAND GR;YIPPIN CREEK;2446;4000;M;20040323;20040428;375000;R;R;RESIDENCE;;PS;;0;AA631130;
B;656;2724505;12;20050901 09:56;;;142;YIPPIN CREEK RD;YIPPIN CREEK;2446;10.37;H;20050504;20050715;550000;R;R;RESIDENCE;;PT;;0;AB685430;
B;656;2722522;6;20050401 13:54;;;81;BEECHWOOD RD;YIPPIN CREEK;2446;6880;M;20040113;20050224;235000;R;R;RESIDENCE;;PS;;0;AB352189;
B;656;2724497;48;20090803 01:42;;;13;YIPPIN CREEK RD;YIPPIN CREEK;2446;2.075;H;20090605;20090703;570000;R;R;RESIDENCE;;PS;;0;AE845595;
B;656;2724507;29;20090810 01:44;;;108;YIPPIN CREEK RD;YIPPIN CREEK;2446;1.138;H;20090611;20090723;345000;R;R;RESIDENCE;;PS;;0;AE865111;
B;656;3416619;3;20090831 01:39;;;81;YIPPIN CREEK RD;YIPPIN CREEK;2446;4440;M;20090710;20090814;305000;R;R;RESIDENCE;;PS;;0;AE916784;
B;656;2722522;10;20091026 02:00;;;81;BEECHWOOD RD;YIPPIN CREEK;2446;6880;M;20090901;20090930;350000;R;R;RESIDENCE;;PS;;0;AF37998;
B;656;2724119;34;20100405 04:54;;;21;ROSELLA PL;YIPPIN CREEK;2446;2.691;H;20100205;20100312;670000;R;R;RESIDENCE;;PS;;0;AF386543;
B;656;2724484;26;20100308 03:03;;;12;WOODLAND GR;YIPPIN CREEK;2446;4000;M;20100119;20100217;350000;R;R;RESIDENCE;;PS;;0;AF332324;
B;656;2724498;40;20100315 02:11;;;4;WOODLAND GR;YIPPIN CREEK;2446;3987;M;20100201;20100301;385000;R;R;RESIDENCE;;PS;;0;AF354900;
B;656;2722525;15;20100517 02:11;;;84;BEECHWOOD RD;YIPPIN CREEK;2446;1.595;H;20091224;20100430;540000;R;R;RESIDENCE;;PS;;0;AF476355;
B;656;2722525;12;20110822 04:54;;;84;BEECHWOOD RD;YIPPIN CREEK;2446;1.595;H;20110617;20110729;510000;RU1;R;RESIDENCE;;RPS;;0;AG428242;
B;656;2724481;32;20110509 02:06;;;28;WOODLAND GR;YIPPIN CREEK;2446;1.705;H;20110316;20110414;600000;R;R;RESIDENCE;;PS;;0;AG198224;
B;656;2724505;37;20130805 01:18;;;142;YIPPIN CREEK RD;YIPPIN CREEK;2446;10.37;H;20130417;20130628;683000;RU1;R;RESIDENCE;;RPS;;0;AH904886;
B;656;3484894;2;20130311 01:44;;;80;BEECHWOOD RD;YIPPIN CREEK;2446;3.067;H;20121004;20130204;3000000;R1;V;VACANT LAND;;AGA;;0;AH550960;
