B;088;2891724;123;20030701 14:18;;;APT408;NAPIER STREET;NTH SYDNEY;2060;;;20010830;20020129;368000;;3;UNIT;148;;;0;9709069;
B;088;2891724;125;20030701 14:18;;;APT408;NAPIER STREET;NTH SYDNEY;2060;;;20010830;20020129;368000;;3;UNIT;20;;;0;9709069;
