B;139;2961109;150;20030217 09:31;;;9;CORREYS SQ;CABARITTA;2137;;;20020302;20030121;885000;;R;RESIDENCE;;;;;9342600;
B;139;2961112;152;20030217 09:31;;;8;CORREYS SQUARE;CABARITTA;2137;;;20020320;20030129;875000;;R;RESIDENCE;;;;;9336982;
