B;092;;;;;;12A;18-20 CENTENNIAL AVENUE;CHATSWOOD -;2067;;;19970411;19970411;335000;;R;RESIDENCE;;;;;
B;092;;;;;;12A;18-20 CENTENNIAL AVENUE;CHATSWOOD -;2067;;;19970415;19970415;390000;;R;RESIDENCE;;;;;
B;092;;;;;;12A;18-20 CENTENNIAL AVENUE;CHATSWOOD -;2067;;;19970424;19970424;232000;;R;RESIDENCE;;;;;
B;092;;;;;;12A;18-20 CENTENNIAL AVENUE;CHATSWOOD -;2067;;;19970424;19970424;235000;;R;RESIDENCE;;;;;
B;092;;;;;;12A;18-20 CENTENNIAL AVENUE;CHATSWOOD -;2067;;;19970424;19970424;345000;;R;RESIDENCE;;;;;
B;092;;;;;;12A;18-20 CENTENNIAL AVENUE;CHATSWOOD -;2067;;;19970430;19970430;350000;;R;RESIDENCE;;;;;
B;092;;;;;;12A;18-20 CENTENNIAL AVENUE;CHATSWOOD -;2067;;;19970505;19970505;237500;;R;RESIDENCE;;;;;
B;092;;;;;;12A;18-20 CENTENNIAL AVENUE;CHATSWOOD -;2067;;;19970513;19970513;330000;;R;RESIDENCE;;;;;
B;092;;;;;;12A;18-20 CENTENNIAL AVENUE;CHATSWOOD -;2067;;;19970516;19970516;109250;;R;RESIDENCE;;;;;
B;092;;;;;;12A;18-20 CENTENNIAL AVENUE;CHATSWOOD -;2067;;;19970516;19970516;201875;;R;RESIDENCE;;;;;
B;092;;;;;;12A;18-20 CENTENNIAL AVENUE;CHATSWOOD -;2067;;;19970604;19970604;665500;;R;RESIDENCE;;;;;
B;092;;;;;;12A;18-20 CENTENNIAL AVENUE;CHATSWOOD -;2067;;;19970610;19970610;332100;;R;RESIDENCE;;;;;
B;092;;;;;;12A;18-20 CENTENNIAL AVENUE;CHATSWOOD -;2067;;;19970620;19970620;340000;;R;RESIDENCE;;;;;
B;092;;;;;;12A;18-20 CENTENNIAL AVENUE;CHATSWOOD -;2067;;;19970620;19970620;605000;;R;RESIDENCE;;;;;
B;092;;;;;;12A;18-20 CENTENNIAL AVENUE;CHATSWOOD -;2067;;;19970625;19970625;360000;;R;RESIDENCE;;;;;
B;092;;;;;;12A;18-20 CENTENNIAL AVENUE;CHATSWOOD -;2067;;;19970711;19970711;235000;;R;RESIDENCE;;;;;
B;092;;;;;;12A;18-20 CENTENNIAL AVENUE;CHATSWOOD -;2067;;;19970811;19970811;390000;;R;RESIDENCE;;;;;
B;092;;;;;;12A;18-20 CENTENNIAL AVENUE;CHATSWOOD -;2067;;;19970905;19970905;430000;;R;RESIDENCE;;;;;
B;092;;;;;;12A;18-20 CENTENNIAL AVENUE;CHATSWOOD -;2067;;;19971009;19971009;397500;;R;RESIDENCE;;;;;
B;092;;;;;;12A;18-20 CENTENNIAL AVENUE;CHATSWOOD -;2067;;;19971107;19971107;420000;;R;RESIDENCE;;;;;
B;092;;;;;;12A;18-20 CENTENNIAL AVENUE;CHATSWOOD -;2067;;;19971124;19971124;440000;;R;RESIDENCE;;;;;
B;092;;;;;;12A;18-20 CENTENNIAL AVENUE;CHATSWOOD -;2067;;;19971224;19971224;625000;;R;RESIDENCE;;;;;
B;092;;;;;;12A;18-20 CENTENNIAL AVENUE;CHATSWOOD -;2067;;;19980327;19980327;440000;;R;RESIDENCE;;;;;
B;092;;;;;;12A;18-20 CENTENNIAL AVENUE;CHATSWOOD -;2067;;;19980424;19980424;237500;;R;RESIDENCE;;;;;
B;092;;;;;;12A;18-20 CENTENNIAL AVENUE;CHATSWOOD -;2067;;;19980601;19980601;355000;;R;RESIDENCE;;;;;
B;092;;;;;;12A;18-20 CENTENNIAL AVENUE;CHATSWOOD -;2067;;;19980611;19980611;350000;;R;RESIDENCE;;;;;
B;092;;;;;;12A;18-20 CENTENNIAL AVENUE;CHATSWOOD -;2067;;;19980619;19980619;232500;;R;RESIDENCE;;;;;
B;092;;;;;;12A;18-20 CENTENNIAL AVENUE;CHATSWOOD -;2067;;;19980630;19980630;320000;;R;RESIDENCE;;;;;
B;092;;;;;;12A;18-20 CENTENNIAL AVENUE;CHATSWOOD -;2067;;;19980713;19980713;427500;;R;RESIDENCE;;;;;
B;092;;;;;;12A;18-20 CENTENNIAL AVENUE;CHATSWOOD -;2067;;;19980729;19980729;410000;;R;RESIDENCE;;;;;
