B;066;3103273;1;20240205 01:06;;;;TINAMBA LANE;FARGUNYAH;2656;174.8;H;20231024;20240131;2678400;RU1;3;FARM;;RMC;;0;AT804461;
B;066;542000;3;20240205 01:06;;;788;LOCKHART KYWONG RD;FARGUNYAH;2656;499.2;H;20231109;20240131;7647142;RU1;3;FARM;;RMC;;0;AT804650;
B;066;3307544;4;20240805 01:06;;;645;HOLLIES RD;FARGUNYAH;2656;130.2;H;20240701;20240726;1662165;RU1;3;FARM;;RMC;;0;AU279419;
B;066;542018;4;20170710 01:03;;;122;SEBERRYS LANE;FARGUNYAH;2656;364.2;H;20170221;20170221;1499776;RU1;3;FARMLANDS;;RMC;;0;AM540292;
B;066;542019;2;20170911 01:02;;;;SLOCUMS LANE;FARGUNYAH;2656;121.5;H;20170221;20170221;480224;RU1;3;FARMLANDS;;RMC;;0;AM540430;
B;066;3713836;2;20240212 01:06;GLENROY;;;LOCKHART KYWONG RD;FARGUNYAH;2656;385.37;H;20231025;20240207;4791787;RU1;3;FARM;;RMC;;0;AT819392;
B;066;542026;2;20250414 01:14;DEEPWATER;;;SEBERRYS LANE;FARGUNYAH;2656;111.1;H;20250219;20250404;800000;RU1;3;FARM;;RMC;;0;AU950997;
B;066;542006;2;20250317 01:10;;;;FARGUNYAH LANE;FARGUNYAH;2656;129.5;H;20250206;20250306;1920000;RU1;3;FARM;;RMC;;0;AU873173;
B;066;4352573;7;20250317 01:10;;;;SCHIRMERS LANE;FARGUNYAH;2656;188.6;H;20250206;20250306;2330000;RU1;3;FARM;;RMC;;0;AU873182;
B;066;542000;1;20171218 01:12;;;788;LOCKHART KYWONG RD;FARGUNYAH;2656;499.2;H;20170706;20170706;2898200;RU1;3;FARM;;RMC;;0;AM951992;
B;066;3307545;2;20250127 01:01;;;;SCHIRMERS LANE;FARGUNYAH;2656;64.14;H;20241001;20250122;911318;RU1;3;FARM;;RHC;;0;AU770173;
B;066;4352574;2;20210329 01:00;;;579;FARGUNYAH LANE;FARGUNYAH;2656;174.4;H;20200901;20210319;2200000;;3;FARM;;;;0;AQ886234;
B;066;3740036;2;20131202 01:12;;;LOT 4 DP11;OFF KINGS ROAD;FARGUNYAH;2656;3.056;H;20130208;20130927;2734;;V;VACANT LAND;;;;0;AI153068;
B;066;3713837;2;20130729 01:21;GLENROY;;;BANKVALE RD;FARGUNYAH;2656;298.6;H;20130218;20130404;756193;;3;FARMLAND;;;;0;AH780439;
