B;083;680660;21;20010822 12:24;;3;2;LE VESINET DR;PULPIT POINT;2110;;;20010312;20010508;1950000;;R;;3;;;;7632572;
B;083;680660;6;20021217 14:35;;17;2;LE VESINET DR;PULPIT POINT;2110;;;20020927;20021126;3350000;;R;RESIDENCE;17;;;;9184560;
B;083;682217;25;20020301 13:07;;;5;ST MALO AVE;PULPIT POINT;2110;897;M;20010426;20020215;1425000;A;V;VACANT LAND;;ER;;;8374251;
B;083;682217;26;20020301 13:07;;;5;ST MALO AVE;PULPIT POINT;2110;897;M;20011210;20020215;2250000;A;V;VACANT LAND;;ER;;;8374252;
B;083;680660;4;20020617 12:12;;19;2;LE VESINET DR;PULPIT POINT;2110;;;20020414;20020527;2480000;;V;VACANT LAND;19;;;;8656310;
