B;210;2084253;6;20240101 01:09;;3;28 A;DARLING POINT RD;DARLING POINT;2027;173;M;20231220;20231222;3300000;;R;RESIDENCE;3;;;0;AT729245;
B;210;2085200;9;20160201 01:25;;40;2;EASTBOURNE RD;DARLING POINT;2027;;;20151127;20160115;1850000;;R;RESIDENCE;40;;;0;AK150287;
B;210;2085200;10;20160201 01:25;;40;2;EASTBOURNE RD;DARLING POINT;2027;;;20151127;20160115;1850000;;R;RESIDENCE;78;;;0;AK150287;
B;210;2096818;23;20160201 01:25;;24;5;OCTAGON RD;DARLING POINT;2027;;;20151201;20160115;900000;;R;RESIDENCE;24;;;0;AK154973;
B;210;2096818;24;20160201 01:25;;24;5;OCTAGON RD;DARLING POINT;2027;;;20151201;20160115;900000;;R;RESIDENCE;52;;;0;AK154973;
B;210;2083958;28;20160201 01:25;;2;113;DARLING POINT RD;DARLING POINT;2027;;;20151116;20160118;1450000;;R;RESIDENCE;2;;;0;AK161749;
B;210;2084292;36;20160201 01:25;;7;14;DARLING POINT RD;DARLING POINT;2027;;;20151030;20160119;1800000;;R;RESIDENCE;7;;;0;AK170134;
B;210;2084311;17;20210201 01:02;;11;2 A;DARLING POINT RD;DARLING POINT;2027;62.2;M;20200103;20210122;940000;;R;RESIDENCE;11;;;0;AQ742544;
B;210;2083360;14;20210301 01:02;;26 F;3;DARLING POINT RD;DARLING POINT;2027;;;20201221;20210219;2600000;;R;RESIDENCE;112;;;0;AQ814355;
B;210;2093307;6;20240401 01:09;;5;78;NEW BEACH RD;DARLING POINT;2027;98;M;20231031;20240322;2000000;;R;RESIDENCE;5;;;0;AT927000;
B;210;2093141;6;20170501 01:09;;18;22;NEW BEACH RD;DARLING POINT;2027;;;20170303;20170413;1301500;;R;RESIDENCE;12;;;0;AM319673;
B;210;2105189;16;20170501 01:09;;1;30;YARRANABBE RD;DARLING POINT;2027;;;20170223;20170406;1755000;;R;RESIDENCE;1;;;0;AM317223;
B;210;2100855;33;20170501 01:09;;6;39;SUTHERLAND CRES;DARLING POINT;2027;;;20170225;20170410;4150000;;R;RESIDENCE;6;;;0;AM321599;
B;210;2085119;2;20240701 01:22;;7;19;EASTBOURNE RD;DARLING POINT;2027;64.1;M;20240502;20240621;1225000;;R;RESIDENCE;7;;;0;AU176316;
B;210;2093141;3;20240701 01:22;;18;22;NEW BEACH RD;DARLING POINT;2027;152;M;20240405;20240626;2125000;;R;RESIDENCE;12;;;0;AU188794;
B;210;2105151;18;20240701 01:22;;9;18;YARRANABBE RD;DARLING POINT;2027;81.38;M;20240510;20240621;2400000;;R;RESIDENCE;9;;;0;AU176059;
B;210;2105151;19;20240701 01:22;;9;18;YARRANABBE RD;DARLING POINT;2027;18.4;M;20240510;20240621;2400000;;R;RESIDENCE;14;;;0;AU176059;
B;210;3259190;41;20240701 01:22;;;71;DARLING POINT RD;DARLING POINT;2027;656;M;20240314;20240621;22000000;R3;R;RESIDENCE;;AMC;;0;AU176886;
B;210;2093263;5;20160801 01:08;;3;21;YARRANABBE RD;DARLING POINT;2027;;;20160408;20160711;4330000;;R;RESIDENCE;3;;;0;AK627960;
B;210;3406828;17;20160801 01:08;;5;2;BENNETT AVE;DARLING POINT;2027;;;20160303;20160711;1650000;;R;RESIDENCE;5;;;0;AK615651;
B;210;2083998;22;20220801 01:27;;3;82;DARLING POINT RD;DARLING POINT;2027;74;M;20220601;20220727;1800000;;R;RESIDENCE;3;;;0;AS340438;
B;210;2101567;10;20250901 01:09;;6 C;13;THORNTON ST;DARLING POINT;2027;;;20250523;20250821;3960000;;R;RESIDENCE;18;;;;AV349736;
B;210;2101567;11;20250901 01:09;;18;13;THORNTON ST;DARLING POINT;2027;;;20250523;20250821;3960000;;R;RESIDENCE;65;;;;AV349736;
B;210;2101567;12;20250901 01:09;;18;13;THORNTON ST;DARLING POINT;2027;;;20250523;20250821;3960000;;R;RESIDENCE;81;;;;AV349736;
B;210;2100947;4;20181001 01:25;;45;11;SUTHERLAND CRES;DARLING POINT;2027;;;20180803;20180926;1615000;;R;RESIDENCE;11;;;0;AN740038;
B;210;3627826;20;20181001 01:25;;;3;LOFTUS RD;DARLING POINT;2027;;;20180626;20180920;9800000;;R;RESIDENCE;1;;;0;AN736885;
B;210;2083836;29;20211101 02:36;;31;4;MITCHELL RD;DARLING POINT;2027;92;M;20210916;20211028;1870000;;R;RESIDENCE;31;;;0;AR565518;
B;210;2083836;30;20211101 02:36;;31;4;MITCHELL RD;DARLING POINT;2027;14;M;20210916;20211028;1870000;;R;RESIDENCE;90;;;0;AR565518;
B;210;2101502;34;20211101 02:36;;7 A;5;THORNTON ST;DARLING POINT;2027;180.2;M;20210914;20211026;7000000;;R;RESIDENCE;19;;;0;AR555877;
B;210;2085137;45;20211101 02:36;;22;16;EASTBOURNE RD;DARLING POINT;2027;97.6;M;20210915;20211027;1810000;;R;RESIDENCE;22;;;0;AR559541;
B;210;2085091;2;20251201 01:10;;1;1 A;EASTBOURNE RD;DARLING POINT;2027;140.6;M;20251011;20251124;2200000;;R;RESIDENCE;1;;;;AV637155;
B;210;2105309;16;20251201 01:10;;6;47;YARRANABBE RD;DARLING POINT;2027;99;M;20250929;20251124;3021000;;R;RESIDENCE;6;;;;AV638179;
B;210;2084007;27;20251201 01:10;;62;66;DARLING POINT RD;DARLING POINT;2027;58.5;M;20251025;20251121;1350000;;R;RESIDENCE;21;;;;AV633007;
B;210;2084115;28;20251201 01:10;;4;54;DARLING POINT RD;DARLING POINT;2027;104.8;M;20251018;20251124;1720000;;R;RESIDENCE;4;;;;AV638928;
B;210;3627826;34;20251201 01:10;;;3;LOFTUS RD;DARLING POINT;2027;;;20250423;20251127;15500000;;R;RESIDENCE;1;;;;AV650884;
B;210;2083836;3;20170102 01:08;;10;4;MITCHELL RD;DARLING POINT;2027;;;20161026;20161123;853333;;R;RESIDENCE;10;;;0;AK984652;
B;210;2083836;4;20170102 01:08;;10;4;MITCHELL RD;DARLING POINT;2027;;;20161026;20161123;853333;;R;RESIDENCE;59;;;0;AK984652;
B;210;2084329;18;20180402 01:16;;806;2;DARLING POINT RD;DARLING POINT;2027;316;M;20171027;20180328;2750000;;R;RESIDENCE;28;;;0;AN224703;
B;210;2100988;1;20160502 01:15;;12;1;SUTHERLAND CRES;DARLING POINT;2027;;;20160316;20160427;2470000;;R;RESIDENCE;12;;;0;AK381307;
B;210;2100988;2;20160502 01:15;;12;1;SUTHERLAND CRES;DARLING POINT;2027;;;20160316;20160427;2470000;;R;RESIDENCE;28;;;0;AK381307;
B;210;2093126;4;20160502 01:15;;;15;NEW BEACH RD;DARLING POINT;2027;508.3;M;20160321;20160411;7400000;R3;R;RESIDENCE;;AMD;;0;AK370330;
