B;053;3515192;1;20100517 01:49;;;;PALAZZIS RD;LOGIE BRAE;2713;93.22;H;20081104;20081104;74644;;3;FARM;;;;0;AF442896;
B;053;510569;2;20110307 01:50;;;3618;MAYRUNG RD;LOGIE BRAE;2713;223.9;H;20100922;20100929;645000;R;3;FARM;;RW;;0;AF994622;
B;053;510575;1;20120402 01:36;;;3125;MAYRUNG RD;LOGIE BRAE;2713;216.6;H;20120203;20120229;441375;R;3;FARM;;RW;;0;AG880308;
B;053;510651;2;20120402 01:36;;;1834;COREE RD;LOGIE BRAE;2713;216.5;H;20120203;20120229;441375;R;3;FARM;;RW;;0;AG880307;
B;062;535266;2;20120305 21:05;;;450;ROLFE RD;LOGIE BRAE;2713;230.8;H;20111118;20120216;180766;R;3;FARM;;RW;;0;AG838459;
B;062;535325;2;20130527 01:06;WARRALEIGH;;148;WOODHAMS LANE;LOGIE BRAE;2713;129;H;20130212;20130412;217121;RU1;3;FARM;;RW1;;0;AH735877;
B;053;3828115;1;20150302 01:13;;;;PALAZZIS RD;LOGIE BRAE;2713;7.813;H;20140105;20140226;7156;;3;CLOSED ROAD;;;;0;AJ251550;
B;053;510653;2;20150330 01:14;;;163;HOLZIGALS RD;LOGIE BRAE;2713;216.6;H;20150206;20150316;600000;RU1;3;FARM;;RW1;;0;AJ353636;
B;062;535272;1;20161031 01:03;;;594;ROLFE RD;LOGIE BRAE;2713;185.7;H;20160722;20160901;200000;RU1;3;FARM;;RW1;;0;AK851773;
B;062;535257;1;20180507 01:13;;;1225;MAYRUNG RD;LOGIE BRAE;2713;231.1;H;20180320;20180413;950000;RU1;3;FARM;;RW1;;0;AN296917;
B;262;510648;1;20190107 01:14;KOONOL;;366;COSSARS RD;LOGIE BRAE;2713;276.7;H;20180918;20181214;2910600;RU1;3;FARM;;RW2;;0;AN975533;
B;262;510569;4;20190311 01:08;;;3618;MAYRUNG RD;LOGIE BRAE;2713;223.9;H;20181203;20190301;909314;RU1;3;FARM;;RW2;;0;AP94897;
B;270;535249;1;20190422 01:08;;;172;RAITHBY LANE;LOGIE BRAE;2713;561;H;20190125;20190415;2428000;RU1;3;FARM;;RW1;;0;AP192280;
B;270;535256;2;20190513 01:07;;;;MAYRUNG RD;LOGIE BRAE;2713;223.3;H;20180630;20180630;750000;RU1;3;FARM;;RW1;;0;AP226894;
B;270;535256;3;20190513 01:07;;;;MAYRUNG RD;LOGIE BRAE;2713;223.3;H;20180630;20180630;750000;RU1;3;FARM;;RW1;;0;AP226895;
B;262;510570;2;20190624 01:10;HUNTING;;3622;MAYRUNG RD;LOGIE BRAE;2713;236.3;H;20190206;20190611;868874;RU1;3;FARM;;RW2;;0;AP329196;
B;262;510570;2;20190722 01:09;HUNTING;;3622;MAYRUNG RD;LOGIE BRAE;2713;236.3;H;20190611;20190611;434437;RU1;3;FARM;;RW2;;50;AP397188;
B;262;3828118;5;20220228 04:33;;;429;PALAZZIS RD;LOGIE BRAE;2713;96.42;H;20211130;20220218;696906;RU1;3;FARM;;RW2;;0;AR899142;
B;262;510653;1;20221010 01:18;;;163;HOLZIGALS RD;LOGIE BRAE;2713;216.6;H;20220701;20220929;1610900;RU1;3;FARM;;RW2;;0;AS512244;
B;262;510539;1;20230220 01:09;GLEN-ALVIE;;76;HOLZIGALS RD;LOGIE BRAE;2713;226.2;H;20221117;20230215;1714453;RU1;3;FARM;;RW2;;0;AS860510;
B;262;510652;2;20230410 01:17;;;;HOLZIGALS RD;LOGIE BRAE;2713;216.1;H;20090317;20090424;210000;RU1;3;FARM/RURAL;;RW2;RW;0;AE671359;
B;270;535258;3;20240819 01:08;;;34;SHERWOOD LANE;LOGIE BRAE;2713;262.8;H;20240607;20240815;2745205;RU1;3;FARM;;RW1;;0;AU335918;
B;262;510541;1;20250609 01:21;;;5;GLEN ALVIE RD;LOGIE BRAE;2713;226.4;H;20250507;20250603;2238000;RU1;3;FARM;;RW2;;0;AV114863;
