B;072;2950446;9;20030102 11:29;;;;BATLOW RD-'WYNYARD FARMS';VIA TUMUT;2720;;;20020829;20021202;75000;;V;VACANT LAND;;;;;9194011;
B;072;2950447;10;20030102 11:29;;;;BATLOW RD-'WYNYARD FARMS';VIA TUMUT;2720;;;20020829;20021202;250000;;R;RESIDENCE;;;;;9194072;
