B;223;4520182;18;20240101 01:10;;;315;BERNERA RD;EDMONDSON PARK;2174;216.2;M;20220414;20231222;990000;R1;R;RESIDENCE;;DAA;;0;AT729690;
B;223;3861852;66;20160201 01:26;;;;GALLIPOLI DR;EDMONDSON PARK;2174;403.3;M;20141020;20150810;335000;R1;V;VACANT LAND;;DAA;;0;AJ749393;
B;223;3825290;72;20160201 01:26;;;;KINGSBURY RD;EDMONDSON PARK;2174;487.8;M;20150528;20160122;420000;R1;V;VACANT LAND;;DAA;;0;AK172003;
B;223;3883479;74;20160201 01:26;;;3;TANGA RD;EDMONDSON PARK;2174;521.7;M;20150130;20151102;429950;R1;V;VACANT LAND;;DAA;;0;AK121432;
B;223;4196340;37;20210201 01:02;;;20;VERDUN RD;EDMONDSON PARK;2174;302.9;M;20201127;20210122;891000;R1;R;RESIDENCE;;DAA;;0;AQ744497;
B;223;4204130;38;20210201 01:02;;;16;BRENNAN WAY;EDMONDSON PARK;2174;247.1;M;20201222;20210122;747000;R1;R;RESIDENCE;;DAA;;0;AQ746684;
B;223;4185928;41;20210201 01:02;;;111;HARTLEPOOL RD;EDMONDSON PARK;2174;317.7;M;20201117;20210128;780000;R1;R;RESIDENCE;;DAA;;0;AQ757504;
B;223;4220492;45;20210201 01:02;;;32;ARDENNES AVE;EDMONDSON PARK;2174;302.6;M;20201204;20210122;750000;R1;R;RESIDENCE;;DAA;;0;AQ744551;
B;223;4220494;46;20210201 01:02;;;28;ARDENNES AVE;EDMONDSON PARK;2174;302.6;M;20201211;20210122;830000;R1;R;RESIDENCE;;DAA;;0;AQ743220;
B;223;3581232;56;20210201 01:02;;;5;DIAMOND HILL CCT;EDMONDSON PARK;2174;517.8;M;20201128;20210128;1315000;R1;R;RESIDENCE;;DAA;;0;AQ757165;
B;223;4316732;91;20210201 01:02;;;;OKINAWA RD;EDMONDSON PARK;2174;421.3;M;20201210;20210127;1029000;R1;R;RESIDENCE;;DAA;;0;AQ753660;
B;223;4043971;35;20210301 01:02;;;3;MANCHURIA RD;EDMONDSON PARK;2174;475.3;M;20210111;20210222;582000;R1;V;VACANT LAND;;DAA;;0;AQ816284;
B;223;3960075;41;20210301 01:02;;;60;VINNY RD;EDMONDSON PARK;2174;619.8;M;20201231;20210225;600000;R1;R;RESIDENCE;;DAA;;0;AQ826482;
B;223;4304974;54;20210301 01:02;;704;56;SOLDIERS PDE;EDMONDSON PARK;2174;;;20210208;20210225;645000;;R;RESIDENCE;48;;;0;AQ827751;
B;223;4316739;56;20210301 01:02;;;;GOLDSMITH RD;EDMONDSON PARK;2174;452.2;M;20210127;20210222;1059000;R1;R;RESIDENCE;;DAA;;0;AQ818455;
