B;074;567889;35;20011109 08:52;;;94;LAKES RD;WYANGAN;2680;4916;M;20010511;20010622;85000;R;V;VACANT LAND;;RH;;;7741192;
B;074;567890;36;20011109 08:52;;;86;LAKES RD;WYANGAN;2680;5141;M;20010531;20010712;87500;R;3;;;RH;;;7804084;
B;074;567891;53;20010822 13:12;;;82;LAKES RD;WYANGAN;2680;5919;M;20010403;20010501;87000;R;V;;;RH;;;7599168;
B;074;569654;70;20010822 13:12;;;1854;LAKE VIEW BRANCH CANAL RD;WYANGAN;2680;8.48;H;20010111;20010215;260000;R;3;;;RG;RH;;7435522;
B;074;570579;38;20011203 12:23;;;;TODD RD;WYANGAN;2680;1329;M;20010730;20010829;142000;Z;R;RESIDENCE;;VL;;;7907998;
B;074;569689;62;20020109 09:45;;;;JONES RD;WYANGAN;2680;11.41;H;20010604;20010718;176000;R;3;FARM;;RG;RV;;7809777;
B;074;2868324;82;20020109 09:45;;;;SMEETH RD;WYANGAN;2680;116.6;H;20010306;20010528;85000;;3;FARMINGLAND;;;RM;;7690294;
B;074;2836120;34;20011109 12:44;;;;ABATTOIR RD;WYANGAN;2680;9819;M;20010618;20010817;10000;;V;VACANT LAND;;;;;7899240;
B;074;567886;32;20020502 11:12;;;110;LAKES RD;WYANGAN;2680;3988;M;20020214;20020905;89000;R;V;VACANT LAND;;RH;;;8533276;
B;074;570597;44;20020502 11:12;;;9;MAEGRAITH PL;WYANGAN;2680;3607;M;20020130;20020301;462500;R;R;RESIDENCE;;RH;AC;;8413279;
B;074;2901310;55;20020502 11:12;;;2741;MASONWELLS RD;WYANGAN;2680;8.4;H;20011123;20020215;298000;;3;FARM;;;;;8390126;
B;074;570583;57;20020816 13:06;;;234;MALLINSON RD;WYANGAN;2680;3600;M;20020315;20020328;135000;R;R;RESIDENCE;;RH;AC;;8691931;
B;074;567891;50;20020603 09:59;;;82;LAKES RD;WYANGAN;2680;5919;M;20020405;20020516;99000;R;V;VACANT LAND;;RH;;;8637018;
B;074;569656;59;20020603 09:59;;;1856;SCOTT RD;WYANGAN;2680;14.14;H;20011105;20011210;300000;R;3;FARM;;RG;RH;;8223251;
B;074;569678;60;20020603 09:59;;;1880;MCCARTHY RD;WYANGAN;2680;9890;M;20010813;20010813;75000;R;R;RESIDENCE;;RH;RRI;;8332903;
B;074;570596;67;20020603 09:59;;;10;MAEGRAITH PL;WYANGAN;2680;2486;M;20011220;20020320;120000;R;V;VACANT LAND;;RH;;;8462134;
B;074;569616;23;20020916 13:49;;;;MALLINSON RD;WYANGAN;2680;8.42;H;20020701;20020719;390000;R;3;FARM/RES;;RG;;;8847632;
B;074;;;;;;14;MAEGRAITH PL;WYANGAN;2680;3455;M;20001110;20001110;435000;R;R;RESIDENCE;;;;;
B;074;569648;;;;;1849;SCOTT RD;WYANGAN;2680;258;M;20000802;20000802;300000;R;R;RESIDENCE;;;;;
