B;081;2955724;187;20030217 09:25;;;LOT1006;BRIDGEWATER ESTATE, MILLHOUSE;BELLA VISTA WATERS;2153;;;20020927;20021218;405000;;V;VACANT LAND;;;;;9253576;
B;081;2955787;189;20030217 09:25;;;LOT1627;NORTHRIDGE AVE;BELLA VISTA WATERS;2153;;;20021030;20030117;440000;;V;VACANT LAND;;;;;9373350;
B;081;2955771;107;20030303 12:16;;;LOT1611;PIPERSBROOK CRES;BELLA VISTA WATERS;2153;;;20021024;20030117;425000;;V;VACANT LAND;;;;;9382140;
B;081;2955778;109;20030303 12:16;;;LOT1618;PIPERSBROOK CRES;BELLA VISTA WATERS;2153;;;20030224;20030224;465000;;V;VACANT LAND;;;;;9401298;
B;081;2955726;596;20030204 12:17;;;LOT1008;MILLHOUSE PL;BELLA VISTA WATERS;2153;;;20021220;20030121;390000;;V;VACANT LAND;;;;;9304999;
B;081;2955727;597;20030204 12:17;;;STAGE10LOT;BRIDGEWAER ESTORE. BRIDGEWATER;BELLA VISTA WATERS;2153;;;20021009;20030108;405000;;V;VACANT LAND;;;;;9276882;
B;081;2955730;599;20030204 12:17;;;LOT1012;'BRIDGEWATER ESTATE' BRIDGEVIE;BELLA VISTA WATERS;;;;20021030;20030108;398000;;V;VACANT LAND;;;;;9278151;
B;081;2955731;600;20030204 12:17;;;LOT1013;BRIDGEWATER CIRCUUIT;BELLA VISTA WATERS;2153;;;20020823;20030108;398000;;V;VACANT LAND;;;;;9286502;
B;081;2955767;603;20030204 12:17;;;LOT1607;PIPERSBROOK CRESCENT;BELLA VISTA WATERS;2153;;;20021025;20021220;465000;;V;VACANT LAND;;;;;9251650;
B;081;2955782;608;20030204 12:17;;;LOT1622;PIPERSBROOK CRESCENT;BELLA VISTA WATERS;2153;;;20021217;20030123;435000;;R;RESIDENCE;;;;;9319450;
B;081;2987417;370;20030716 11:38;;;LOT1141;EDGE WATER DR 'BRIDGEWATER EST;BELLA VISTA WATERS;2153;;;20030530;20030704;447000;;V;VACANT LAND;;;;0;9768285;
B;081;2993158;387;20030716 11:38;;;LOT1225;KENTRIDGE PLACE;BELLA VISTA WATERS;2153;;;20030610;20030704;529000;;V;VACANT LAND;;;;0;9767003;
B;081;2987384;192;20030701 14:17;;;LOT1108;SIROCCO PL;BELLA VISTA WATERS;2153;;;20030324;20030605;519000;;V;VACANT LAND;;;;0;9683345;
B;081;2987387;194;20030701 14:17;;;LOT1111;EDGEWATER DR;BELLA VISTA WATERS;2154;;;20030312;20030605;475000;;R;RESIDENCE;;;;0;9702457;
B;081;2987390;195;20030701 14:17;;;LT1114;SPRINGDALE RISE;BELLA VISTA WATERS;2153;;;20030313;20030606;505000;;V;VACANT LAND;;;;0;9694950;
B;081;2987395;197;20030701 14:17;;;LOT1119;DP 1046919;BELLA VISTA WATERS;2154;;;20030415;20030611;505000;;V;VACANT LAND;;;;0;9695473;
B;081;2987414;198;20030701 14:17;;;LOT1138;EDGEWATER DRIVE;BELLA VISTA WATERS;;;;20030505;20030610;438000;;V;VACANT LAND;;;;0;9731096;
