B;005;3157685;109;20050516 14:15;;;1;FOREST WAY;BOLWORRA HEIGHTS;2323;;;20041209;20050331;195000;;V;VACANT LAND;;;;0;AB452467;
B;005;3157685;110;20050516 14:15;;;1;FOREST WAY;BOLWORRA HEIGHTS;2323;;;20050131;20050331;198900;;V;VACANT LAND;;;;0;AB452466;
