B;055;518674;1;20130819 01:06;;;1864;EMU PARK RD;SANGER;2646;1606;H;20130510;20130701;3835919;RU1;3;FARM;;RRA;;0;AH912022;
B;055;3749641;10;20140127 01:11;;;;OAK LODGE RD;SANGER;2646;6.67;H;20130410;20131025;9578;;V;VACANT LAND;;;;0;AI293133;
B;055;3749386;13;20140127 01:11;;;;EMU PARK RD;SANGER;2646;3.105;H;20130323;20131206;2698;;V;VACANT LAND;;;;0;AI298964;
B;263;4492995;11;20230703 01:14;;;;OAK LODGE RD;SANGER;2646;255.409;H;20230406;20230605;2815930;;3;FARM;;;;0;AT145746;
