B;035;2932524;18;20021217 14:33;;;;CAOURA RD;CAOURA;2580;50.59;H;20020917;20021029;168000;;V;VACANT LAND;;;;;9161549;
B;035;2893698;29;20020402 12:23;;;;;CAOURA;;;;20011221;20020319;87500;;V;VACANT LAND;;;;;8453313;
